EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"8,470",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Special Repair to PWD Road to Bender for the year 2024-25,Special Repair to PWD Road to Bender for the year 2024-25,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Executive Engineer, R.W.Division,Patnagarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD,EMD,AFFIDAVIT,RC, PAN NO,GST NUMBER AND OTHER DOCUMENTS AS PER DTCN",03-Jan-2025 06:50 PM,17-Jan-2025 11:00 AM,03-Jan-2025 06:50 PM,16-Jan-2025 05:00 PM,03-Jan-2025 06:50 PM ,15-Jan-2025 05:00 PM ,03-Jan-2025 06:50 PM,16-Jan-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-09/2024-25,2025_CERWI_108988_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Executive Engineer, R.W.Division,Patnagarh","4,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,"Executive Engineer,DAO,ESTR.",Bebisuta Sahu,01-May-2025 11:45 AM,finsummary_523589.pdf (693.72 KB),Executive Engineer,Internal,"Executive Engineer,DAO,ESTR.",Bebisuta Sahu,01-May-2025 11:38 AM,techsummary_523589.pdf (693.72 KB),1.0,2754037.0,RAJ KUMAR KUDEI,INR,"719,701",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_108988_17,EEPTNG-online-09/2024-25,Special Repair to PWD Road to Bender for the year 2024-25,1,2753919,ABHISHEK SARAF,16-Jan-2025 09:53 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,10-Jun-2025,"INR 719,701",30.0,Barsha Rani Pagada,12-Jun-2025 04:33 PM,1008.pdf (583.00 KB),Finance,12 NOS BID OPENED,Bebisuta Sahu,01-May-2025 11:34 AM,finance_523589.pdf,BOQ Comparative Chart,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2744979,Anil Kumar Agrawal,12-Jan-2025 07:22 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2731283,ASHOK KUMAR PANDEY,07-Jan-2025 03:08 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2752672,BIRENDRA SETH,15-Jan-2025 05:54 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2747634,Milind Kumar Agrawal,13-Jan-2025 05:36 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2754742,RAJESH KUMAR JAIN,16-Jan-2025 01:33 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2754977,RAJESH RANJAN PATRA,16-Jan-2025 01:02 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2754037,RAJ KUMAR KUDEI,16-Jan-2025 09:17 AM,Accepted-AOC,Successful bidder,12-Jun-2025 04:33 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2751489,Ranjan Kumar Sahu,15-Jan-2025 02:21 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2745984,SATYA NARAYAN PANDA,16-Jan-2025 08:25 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,01-May-2025 11:45 AM,,,,,,,,,,,,,AOC
