Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_129,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,REVISED DTCN,Technical Bid,,"19,460",Yes,percentage,1.0%,Nil,Nil,Const. of Paver Block Road from Chandra Sekhar Patra house to Narayan Prusty House in Ward No_02,Const. of Paver Block Road from Chandra Sekhar Patra house to Narayan Prusty House in Ward No_02,Please refer Tender documents. ,NA ,"19,46,034",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1,ICICI BANK,AOC,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_129,BM_06_2024_25,Const. of Paver Block Road from Chandra Sekhar Patra house to Narayan Prusty House in Ward No_02,1,2867832,Ajit Mishra,25-Mar-2025 06:40 PM,Rejected-Technical,L2,24-Jun-2025 06:05 PM,EO CP ME AE,Internal,,Pradeep Kumar Nayak,25-Jun-2025 06:18 PM,finsummary_533287.pdf (452.80 KB),1.0,2867616.0,SUKANTA PATRA,INR,"1,943,698.76",Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 05:50 PM,,BOQ Comparative Chart,EO CP ME AE,Internal,,Pradeep Kumar Nayak,24-Jun-2025 06:05 PM,techsummary_533287.pdf (452.80 KB),25-Jun-2025,"INR 1,946,034",60.0,Pradeep Kumar Nayak,25-Jun-2025 06:21 PM,WO06129.pdf (456.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,AOC,,,,,2,2867616,SUKANTA PATRA,25-Mar-2025 11:30 AM,Accepted-AOC,WO,25-Jun-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
