EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"36,391",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,11-Mar-2025 10:00 AM,26-Mar-2025 11:00 AM,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,NA ,NA ,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,25-Apr-2025 10:00 AM,"Executive Officer ,Remuna NAC","Ganeswarpur,Remuna NAC",Construction of compound wall around the Additional MCC and MRFC site at Kurunia in Ward No 01 under Remuna NAC,Compound wall,As per DTCN ,NA ,"36,39,052",Civil Works - Others,NA ,Tender,90.0,120.0,Kurunia W.N 01,756019.0,NA ,NA ,NA ,Office of the Remuna NAC,No ,No,Municipal Bodies||Remuna NAC,RN_06_2024-25,2025_ORULB_111499_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EMD,Registration certificate and All required documents as per DTCN",AOC,04-Jun-2025,"INR 3,093,558",120.0,Siva Sankar Giri,04-Jun-2025 07:40 AM,workorderwall.pdf (434.00 KB),1,2865367,Ajaya Kanta Mishra,23-Mar-2025 03:33 PM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,Finance,seven bids are admited,Siva Sankar Giri,04-Jun-2025 07:30 AM,finance_532733.pdf,BOQ Comparative Chart,Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,23-Apr-2025 07:57 PM,25-Apr-2025 10:00 AM,techsummary_532733.pdf (791.72 KB),Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,04-Jun-2025 07:36 AM,finsummary_532733.pdf (538.46 KB),Technical,Total 11 bids are submitted and 11 bids are accepted,Siva Sankar Giri,23-Apr-2025 07:46 PM,technical_532733.pdf,Municipal Bodies||Remuna NAC,2025_ORULB_111499_2,RN_06_2024-25,Construction of compound wall around the Additional MCC and MRFC site at Kurunia in Ward No 01 under Remuna NAC,1.0,2859754.0,SUDHIR KUMAR MOHALIK,INR,"3,093,558",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,2,2864737,AMALENDU NAYAK,24-Mar-2025 11:34 PM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2863805,ARATIMANI DAS,24-Mar-2025 07:23 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2868036,CHANDRA PRATAP MAHALIK,25-Mar-2025 04:11 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2864282,DHARMABRATA MISHRA,25-Mar-2025 01:30 PM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2860607,KARTIKA CHANDRA PUSTI,21-Mar-2025 10:57 AM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2867892,LOPAMUDRA TIWARI,25-Mar-2025 01:55 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2867548,SAIRAM CONSTRUCTION,24-Mar-2025 10:54 PM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2867934,SAROJ KUMAR BEHERA,25-Mar-2025 02:35 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2868092,SATYA NARAYAN BEHERA,25-Mar-2025 04:51 PM,Rejected-Finance,NOT SELECTED,04-Jun-2025 07:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
