Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
"Block Development Officer, Kesinga",Internal,,Sukrutanand Mishra,17-Jun-2025 12:44 PM,techsummary_531404.pdf (356.96 KB),17-Jun-2025,"INR 1,203,103",180.0,Sukrutanand Mishra,17-Jun-2025 12:49 PM,Kasrupada.pdf (357.00 KB),1,2851778,DOLAMANI CHOUDHURY,12-Mar-2025 12:11 PM,Rejected-Finance,Disqualified,17-Jun-2025 12:46 PM,Finance,3 nos. bidder participated,Sukrutanand Mishra,13-Mar-2025 12:49 PM,,BOQ Comparative Chart,1.0,2849691.0,SHIVA SHANKAR JAL,INR,"1,203,103",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||KESINGA Block,2025_PRDKS_111108_4,PS-KSNG-T-1/2024-25,Construction of Addl. Class room at Kasrupada under Kesinga Block,"Block Development Officer, Kesinga",Internal,,Sukrutanand Mishra,17-Jun-2025 12:46 PM,finsummary_531404.pdf (356.96 KB),AOC,25-Feb-2025 11:00 AM,13-Mar-2025 11:00 AM,25-Feb-2025 11:00 AM,12-Mar-2025 05:00 PM,25-Feb-2025 11:00 AM ,04-Mar-2025 05:00 PM ,25-Feb-2025 11:00 AM,12-Mar-2025 05:00 PM,"14,000",Yes,fixed,,Nil,Nil,Construction of Addl. Class room at Kasrupada under Kesinga Block,Building,Please refer Tender documents. ,NA ,"14,15,249",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kesinga,766012.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Kesinga",No ,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||KESINGA Block,PS-KSNG-T-1/2024-25,2025_PRDKS_111108_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",Nil,Nil,No,"Block Development officer, Kesinga","O/o Panchayat Samiti, Kesinga",1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, PAN, GST, No Relation certificate",AOC
,,,,,,,,,,,,2,2847590,SAROJ KANTA NAIK,08-Mar-2025 08:56 PM,Rejected-Finance,Disqualified,17-Jun-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,3,2849691,SHIVA SHANKAR JAL,10-Mar-2025 08:58 PM,Accepted-AOC,Qualified,17-Jun-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
