Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Tender documents of all the bidders have been downloaded successfully.,Dipak Kumar Samal,30-Jun-2025 04:31 PM,finance_526012.pdf,BOQ Comparative Chart,30-Jun-2025,"INR 1,750,373.49",120.0,Dipak Kumar Samal,30-Jun-2025 04:48 PM,42.pdf (746.00 KB),Contract Awarded,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2025_SCDBH_109446_42,e-Procurement Notice No.2/2024-25,(42) Construction of R.C.C. trough wall on Barandua Sub-Minor from RD.300M to RD.450M.,1.0,2791247.0,BHAIRAB CHANDRA BARIK,INR,"1,750,373.49",1,2790820,Aditya Kumar Rout,31-Jan-2025 09:07 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",Dipak Kumar Samal,30-Jun-2025 04:39 PM,techsummary_526012.pdf (745.53 KB),"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",Dipak Kumar Samal,30-Jun-2025 04:46 PM,finsummary_526012.pdf (745.53 KB),AOC,1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.2/2024-25,2025_SCDBH_109446_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,(42) Construction of R.C.C. trough wall on Barandua Sub-Minor from RD.300M to RD.450M.,Construction of R.C.C. trough wall,Please refer Tender documents. ,NA ,"20,59,021",Civil Works - Canal,NA ,Tender,90.0,120.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o S.E, Salandi Canal Division, Bhadrak",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate, Affidavit, NRC, undertakings, any other documents as per DTCN.",Superintending Engineer,"O/o S.E, Salandi Canal Division, Bhadrak",16-Jan-2025 06:00 PM,01-Feb-2025 11:00 AM,16-Jan-2025 06:00 PM,31-Jan-2025 05:00 PM,16-Jan-2025 06:00 PM ,22-Jan-2025 05:00 PM ,16-Jan-2025 06:00 PM,31-Jan-2025 05:00 PM,"20,600",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2791542,AJAY KUMAR PALITA,31-Jan-2025 02:18 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2788159,Ajit Kumar Bhoi,30-Jan-2025 09:04 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2790822,Ashok Nath,31-Jan-2025 08:46 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2791247,BHAIRAB CHANDRA BARIK,31-Jan-2025 12:26 PM,Accepted-AOC,Won the lottery,30-Jun-2025 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2790742,BISHNU CHARAN MOHAPATRA,31-Jan-2025 05:46 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2788059,Deepak Kumar Das,30-Jan-2025 09:30 AM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2789973,DIBYARANJAN CHAND,30-Jan-2025 04:48 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2776605,Hrushikesh Sahoo,25-Jan-2025 04:45 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2790205,Kamala Kanta Das,30-Jan-2025 06:33 PM,Rejected-Technical,Does not satisfy as per DTCN,30-Jun-2025 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
