Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
16-Jun-2025,"INR 10,849,433.73",180.0,Bikram Keshari Malla,16-Jun-2025 06:13 PM,workorder3.pdf (525.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 31.05.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111394_16,16/OPHWC/2024-25,"Constn. of District Hdqtr. Equipment Hub at Bhadrak FS, Bhadrak",1.0,2866295.0,SUDARSAN PUTHAL,INR,"10,849,433.73",1,2866964,CHINTAMANI SAHOO,24-Mar-2025 03:16 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,30-Apr-2025 06:46 PM,Technical,six bidder have participated,Bikram Keshari Malla,27-Mar-2025 06:38 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,16-Jun-2025 06:10 PM,finsummary_532419.pdf (390.71 KB),Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,01-May-2025 11:19 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,30-Apr-2025 06:46 PM,01-May-2025 10:30 AM,techsummary_532419.pdf (341.14 KB),AOC,Orissa State Police Housing and Welfare Corporation Ltd,16/OPHWC/2024-25,2025_OSPHW_111394_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,27,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Constn. of District Hdqtr. Equipment Hub at Bhadrak FS, Bhadrak",Building Work,Please refer Tender documents  ,NA ,"1,27,62,538",Civil Works - Buildings,NA ,Tender,90.0,180.0,Bhadrak,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,08-Mar-2025 11:00 AM,25-Mar-2025 10:30 AM,08-Mar-2025 11:00 AM,24-Mar-2025 05:00 PM,NA ,NA ,08-Mar-2025 11:00 AM,24-Mar-2025 05:00 PM,01-May-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC
,,,,,,,,,,,,,,,,2,2867189,DEEPAK KUMAR JENA,24-Mar-2025 04:29 PM,Rejected-Finance,DUE TO L2 BIDDER,16-Jun-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,3,2867099,NIRAKAR SAMAL,24-Mar-2025 04:16 PM,Rejected-Finance,DUE TO L2 BIDDER,16-Jun-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,4,2866211,RANJIT KUMAR BISWAL,24-Mar-2025 02:02 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,30-Apr-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2867132,SISIR KUMAR NAYAK,24-Mar-2025 04:06 PM,Rejected-Finance,DUE TO L1 BIDDER,16-Jun-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2866295,SUDARSAN PUTHAL,24-Mar-2025 12:02 PM,Accepted-AOC,QUALIFIED BIDDER,16-Jun-2025 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
