EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"7,00,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Pre- Qualification (Technical),Selection of agency for providing Manpower to ORMAS,Selection of agency for providing Manpower to ORMAS,Please see the RFP document ,NA ,,Consultancy Services,NA ,Tender,120.0,NA ,ORMAS SIRD and PR Campus Unit 8 Bhubaneswar,751012.0,ORMAS CONFERENCE HALL ,"ORMAS, SIRD and PR Campus, Unit-8, Bhubaneswar ",10-Mar-2025 11:30 AM ,ORMAS CONFERENCE HALL,No ,No,Panchayati Raj and Drinking Water Department Odisha||ORMAS,661/01.03.2025-Manpower,2025_ORMAS_111251_1,Yes,Open Tender,EOI,Services,2.0,No,No,Online,No,No,No,"10,000",Nil,Nil,No,CHIEF EXECUTIVE OFFICER ORMAS,"ORMAS, SIRD and PR Campus, Unit-8, Bhubaneswar",1.0,ICICI BANK,1.0,Pre Bid Clarification to RFP 661 dtd 01 03 25 for selection of Manpower Agency for ORMAS,Other,,02-Mar-2025 09:00 AM,25-Mar-2025 03:00 PM,02-Mar-2025 09:00 AM,25-Mar-2025 02:00 PM,02-Mar-2025 09:00 AM ,07-Mar-2025 06:00 PM ,02-Mar-2025 09:00 AM,25-Mar-2025 02:00 PM,26-Mar-2025 04:15 PM,AOC,1,2866618,ATREYA ASSOCIATES,25-Mar-2025 01:13 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,01-May-2025,"INR 82,588,507.48",730.0,Chitta Ranjan Pattnaik,13-Jun-2025 04:43 PM,LOIAGREEMENTBhumisree.pdf (7643.00 KB),"LOI & AGREEMENT. Value Rs.8,25,88,507.48/- (Excl. of GST) for 2 years from 1st May 2025 to 30th April 2027.",Chakravarti Singh Rathore,Mixed,FA ORMAS JOINT SECY PR DW DEPTT ACCOUNTS OFFICER PR DW DEPTT AUDITOR ORMAS DY CEO ORMAS,Chitta Ranjan Pattnaik,26-Mar-2025 04:12 PM,26-Mar-2025 04:15 PM,techsummary_531873.pdf (1303.54 KB),Finance,Financial Bid Opened,Chitta Ranjan Pattnaik,28-Mar-2025 03:43 PM,,Technical,The bid Papers are evaluated as per the eligibility criteria,Chitta Ranjan Pattnaik,26-Mar-2025 04:04 PM,technical_531873.pdf,Panchayati Raj and Drinking Water Department Odisha||ORMAS,2025_ORMAS_111251_1,661/01.03.2025-Manpower,Selection of agency for providing Manpower to ORMAS,Chakravarti Singh Rathore,Mixed,"FA cum SS, ORMAS , Joint Secy PR DW Dept, Accounts Officer PR DW Dept, Auditor ORMAS, Dy CEO, ORMAS",Chitta Ranjan Pattnaik,28-Mar-2025 03:55 PM,finsummary_531873.pdf (864.60 KB),1.0,2863468.0,Bhumisree Consultancy and Marketing Pvt. Ltd.,INR,"82,588,507.48",AOC
,,,,,,2.0,Finance,.pdf,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,2,2863468,Bhumisree Consultancy and Marketing Pvt. Ltd.,25-Mar-2025 11:49 AM,Accepted-AOC,LOWEST BIDDER WITH HIGHEST NO. OF PROJECTS ( 1st Tied Price),13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2864748,EXECUTIVE SECURITY SERVICE PRIVATE LIMITED,24-Mar-2025 12:03 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2867393,FRONTLINE EX-SERVICEMEN BUREAU,24-Mar-2025 07:47 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2867633,JMD SERVICES PVT. LTD.,25-Mar-2025 01:42 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2867636,L&K Services Private Limited,25-Mar-2025 01:38 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2867397,M/s. KALINGA WARRIORS SECURITY SERVICES,24-Mar-2025 07:46 PM,Rejected-AOC,LOWER NO. OF PROJECTS THAN AWARDED BIDDER (2nd Tied Price),13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2862055,PRATYUSH,25-Mar-2025 01:24 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2867328,T AND M SERVICES CONSULTING PVT LTD,25-Mar-2025 01:44 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2867302,XEAM VENTURES PRIVATE LIMITED,25-Mar-2025 01:31 PM,Rejected-AOC,BID HIGHER PRICE THAN L1 BIDDER,13-Jun-2025 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
