Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
20-Mar-2025 06:55 PM,07-Apr-2025 10:30 AM,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,19-May-2025 10:30 AM,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Constn. of 6 nos. E type Qtrs. at RO, Rourkela",Building Work,Please refer Tender documents  ,NA ,"1,80,95,077",Civil Works - Buildings,NA ,Tender,90.0,365.0,Rourkela,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2024-25,2025_OSPHW_111752_34,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,81,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,25-Jun-2025 06:21 PM,finsummary_533781.pdf (422.25 KB),Technical,tender opened,Bikram Keshari Malla,17-May-2025 07:17 PM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,17-May-2025 07:22 PM,19-May-2025 10:30 AM,techsummary_533781.pdf (365.74 KB),Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,19-May-2025 12:03 PM,,BOQ Comparative Chart,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111752_34,18/OPHWC/2024-25,"Constn. of 6 nos. E type Qtrs. at RO, Rourkela",1.0,2876390.0,AKSHAYA KUMAR MOHAPATRA,INR,"15,382,624.77",1,2876390,AKSHAYA KUMAR MOHAPATRA,05-Apr-2025 10:31 AM,Accepted-AOC,QUALIFIED BIDDER,25-Jun-2025 06:24 PM,25-Jun-2025,"INR 15,382,624.77",365.0,Bikram Keshari Malla,25-Jun-2025 06:24 PM,WORKEDEREL.pdf (544.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 23.06.2025,1.0,REVOKE,REVOKE DUE TO TYPOGRAPHICAL ERROR BECAUSE OF SLOW SERVER.,17-May-2025 06:59 PM,RO-ROURKELA.pdf ,349.55,Technical Opening,AOC
,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2876286,KT CONSTRUCTION,04-Apr-2025 09:34 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Jun-2025 06:21 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2876448,RAJESH TUMBILIA,05-Apr-2025 11:47 AM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Clause No. 11 and 110(j).,17-May-2025 07:22 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2875804,SABITA SWAIN,05-Apr-2025 01:06 PM,Rejected-Technical,Non submission of documents related to Tools and Plants as per DTCN Cl. No. 13 and 110(f).,17-May-2025 07:22 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2876758,SHIBA BADAIK,05-Apr-2025 04:03 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Jun-2025 06:21 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2876554,SUSHANTA KUMAR SUNA,05-Apr-2025 01:24 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Jun-2025 06:21 PM,,,,,,,,,,,,,,,AOC
