Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage
18-Jun-2025,"INR 1,438,435.59",90.0,Susanta Dung Dung,18-Jun-2025 01:02 PM,298_85_1.pdf (408.00 KB),As per estimated rate,1,2584672,JAGANNATH KAR,24-Oct-2024 11:14 AM,Accepted-AOC,Accepted,18-Jun-2025 01:02 PM,1.0,2584672.0,JAGANNATH KAR,INR,"1,481,588",Municipal Bodies||Brahmapur Municipal Corporation,2024_ORULB_105443_85,BeMC (BAM)/ 298/ 2024-2025,Construction of RCC Drain and CC Road at Bada Pandara Street in Ward No - 10,Finance,Admitted,Sanjukta Kumari Raipatro,29-Oct-2024 12:50 PM,finance_508740.pdf,BOQ Comparative Chart,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,18-Jun-2025 12:59 PM,finsummary_508740.pdf (423.60 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,18-Jun-2025 12:56 PM,techsummary_508740.pdf (522.06 KB),AOC,"14,384",Yes,fixed,,Nil,Nil,Construction of RCC Drain and CC Road at Bada Pandara Street in Ward No - 10,Construction of RCC Drain and CC Road at Bada Pandara Street in Ward No - 10,Please refer tender documents ,NA ,"14,38,428",Civil Works - Others,NA ,Tender,120.0,90.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,Berhampur Municipal Corporation,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, BID COST, EMD AND REGISTRATION ETC AS PER DTCN","7,080",0.0,Nil,Nil,No,Municipal Bodies||Brahmapur Municipal Corporation,BeMC (BAM)/ 298/ 2024-2025,2024_ORULB_105443_85,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Oct-2024 03:00 PM,25-Oct-2024 11:30 AM,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,09-Oct-2024 03:00 PM ,15-Oct-2024 02:00 PM ,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,1,ICICI BANK,"Commissioner,","Berhampur Municipal Corporation, Berhampur",AOC
,,,,,,,2,2584780,SAROJ KUMAR SAHU,19-Oct-2024 07:35 PM,Rejected-Finance,Rejected,18-Jun-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,AOC
