Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
07-Jun-2025,"INR 1,368,794",30.0,Kuldeep Kumar,07-Jun-2025 09:00 PM,umeshjena.pdf (414.00 KB),1.0,2695635.0,UMESH KUMAR JENA,INR,"1,368,794",Municipal Bodies||Rayagada Municipality,2024_ORULB_107719_15,RGDA-MUN-03/2024-25,Construction of Paver block road at DFO residence side road in Ward no-14.,1,2698403,ANJAN SABAT,16-Dec-2024 01:35 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,Finance,All bids are admitted,Bulu Sethy,17-Feb-2025 11:59 PM,finance_518697.pdf,BOQ Comparative Chart,CHAIRPERSON RAYAGADA MUNICIPALITY,Internal,,Kuldeep Kumar,07-Jun-2025 08:53 PM,finsummary_518697.pdf (521.03 KB),CHAIRPERSON RAYAGADA MUNICIPALITY,Internal,,Kuldeep Kumar,07-Jun-2025 08:49 PM,techsummary_518697.pdf (521.03 KB),AOC,Municipal Bodies||Rayagada Municipality,RGDA-MUN-03/2024-25,2024_ORULB_107719_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,30-Nov-2024 11:30 AM,17-Dec-2024 11:30 AM,30-Nov-2024 11:30 AM,16-Dec-2024 05:30 PM,30-Nov-2024 11:30 AM ,15-Dec-2024 05:30 PM ,30-Nov-2024 11:30 AM,16-Dec-2024 05:30 PM,"Executive officer, Rayagada Municipality","Executive officer, Rayagada Municipality",Construction of Paver block road at DFO residence side road in Ward no-14.,Construction of Paver block road at DFO residence side road in Ward no-14.,Please refer Tender documents. ,NA ,"16,10,156",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,"16,101",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2697852,Jagadish Kumar Sahu,16-Dec-2024 11:47 AM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2691955,JAY JAGANNATH ENTERPRISES,12-Dec-2024 06:50 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2695553,JYOSTNA RANI SAHANI,13-Dec-2024 08:58 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2698536,LAXMIDHAR BISWAL,16-Dec-2024 02:28 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2696767,NANDA KISHOR PRASAD CHOURASIA,15-Dec-2024 07:11 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2697178,RAINA KADRAKA,16-Dec-2024 10:28 AM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2694740,RAJANI KANTA BEHERA,16-Dec-2024 08:50 AM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2695790,RAWALA MAJHI,14-Dec-2024 12:37 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2695204,SABITA MISHRA,13-Dec-2024 04:10 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,2693368,SMT. ABHILIPSA RATH,12-Dec-2024 11:29 AM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,2690414,SOUBHAGYA SABAT,09-Dec-2024 04:13 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,2696810,SUBHAM PANIGRAHI,15-Dec-2024 04:28 PM,Rejected-AOC,Stands L2 in Lottery,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,2692944,SUGYANI PADHI,11-Dec-2024 07:37 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,2688348,TIRUPATI PRASAD PANIGRAHI,16-Dec-2024 12:07 PM,Rejected-AOC,Rejected,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,2695635,UMESH KUMAR JENA,14-Dec-2024 08:00 AM,Accepted-AOC,Awarded L1 in Lottery,07-Jun-2025 09:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
