Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Gyana prakash Nayak,Internal,,Gyana Nayak,05-Jun-2025 01:15 PM,techsummary_519348.pdf (564.05 KB),05-Jun-2025,"INR 164,800",15.0,Gyana Nayak,05-Jun-2025 01:24 PM,SUPPLYORDER.pdf (1112.00 KB),1,2701184,AIMIL LTD,23-Dec-2024 12:47 PM,Rejected-Finance,2nd lowest bidder,05-Jun-2025 01:19 PM,1.0,2703660.0,Asian Contec Limited,INR,"164,800",Finance,BId opened,Gyana Nayak,24-Dec-2024 12:30 PM,,BOQ Comparative Chart,Gyana prakash Nayak,Internal,,Gyana Nayak,05-Jun-2025 01:19 PM,finsummary_519348.pdf (564.05 KB),EIC-CIVIL||EIC-CIVIL,2024_EICCL_107895_1,06-DDR-RDQP-24-25,"Repairing of Profometer PM 600 Model (Proceq make) in the Central Laboratory under Quality Control (R AND B) Division, Bhubaneswar",AOC,"Repairing of Profometer PM 600 Model (Proceq make) in the Central Laboratory under Quality Control (R AND B) Division, Bhubaneswar","Repairing of Profometer PM 600 Model (Proceq make) in the Central Laboratory under Quality Control (R AND B) Division, Bhubaneswar",AS PER QCN ,NA ,,Miscellaneous Services,NA ,Tender,90.0,NA ,BHUBANESWAR,751001.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER QCN,"3,500",Yes,fixed,,Nil,Nil,EIC-CIVIL||EIC-CIVIL,06-DDR-RDQP-24-25,2024_EICCL_107895_1,Yes,Open Tender,Item Rate,Services,1.0,No,No,Online,No,No,No,1,ICICI BANK,"DEPUTY DIRECTOR RESEARCH, RDAND QP","DEPUTY DIRECTOR RESEARCH, RD AND QP, SACHIVALAYA MARG UNIT-4 , BHUBANESWAR",600.0,0.0,Nil,Nil,No,04-Dec-2024 06:25 PM,24-Dec-2024 11:30 AM,04-Dec-2024 06:25 PM,23-Dec-2024 05:30 PM,NA ,NA ,04-Dec-2024 06:25 PM,23-Dec-2024 05:30 PM,AOC
,,,,,,,,,,,,2,2703660,Asian Contec Limited,19-Dec-2024 06:41 PM,Accepted-AOC,1st lowest bidder,05-Jun-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
