Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
Finance,Summary,Sanjib Kumar Behera,01-Jun-2025 12:06 PM,,BOQ Comparative Chart,1.0,2846016.0,Dillip Ranjan Das,INR,"1,303,360",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2025_EICCL_111152_2,eTCN12,"Provision of external Lighting ( Such as Solar, Street Light and LED Bollard) inside the premises of District Court Building Nayagarh",Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 12:25 PM,finsummary_531528.pdf (872.13 KB),Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 12:16 PM,techsummary_531528.pdf (395.43 KB),1,2842252,ALOK KUMAR MOHAPATRA,01-Mar-2025 05:03 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,01-Jun-2025,"INR 1,303,360",30.0,Sanjib Kumar Behera,01-Jun-2025 12:27 PM,DISTRICTCOURTEXTERNAL.pdf (872.00 KB),AOC,26-Feb-2025 11:00 AM,07-Mar-2025 11:00 AM,26-Feb-2025 11:00 AM,06-Mar-2025 05:00 PM,NA ,NA ,26-Feb-2025 11:00 AM,06-Mar-2025 05:00 PM,"Provision of external Lighting ( Such as Solar, Street Light and LED Bollard) inside the premises of District Court Building Nayagarh","Provision of external Lighting ( Such as Solar, Street Light and LED Bollard) inside the premises of District Court Building Nayagarh",Please refer Tender documents. ,NA ,"15,33,184",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,"O/o of the SE, Nayagarh RandB Division",No ,No,"6,000",0.0,Nil,Nil,No,"15,332",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN12,2025_EICCL_111152_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, Licence, Affidavit, Schedule, PAN, GST etc.",Superitending Engineer,"O/o of the SE, Nayagarh RandB Division",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2845675,Ampere india associates,06-Mar-2025 12:33 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2845474,BABA ELECTRICAL CONSTRUCTION,06-Mar-2025 10:41 AM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2841734,BAIBHAVI ELECTRICALS AND CONSTRUCTION PRIVATE LIMITED,28-Feb-2025 04:57 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2846016,Dillip Ranjan Das,06-Mar-2025 03:18 PM,Accepted-AOC,AOC,01-Jun-2025 12:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2844458,ECO ELECTRIC POWER SOLUTIONS,05-Mar-2025 01:02 AM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2842344,MODERN WINDING AND ELECTRICALS,01-Mar-2025 06:59 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2841667,M/s BASANTI ELECTRICALS AND CONSTRUCTION,28-Feb-2025 04:44 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2842198,M/s. EASTERN ENGINEERING,01-Mar-2025 06:35 PM,Rejected-Finance,Selected through transparence lottery,01-Jun-2025 12:25 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2843829,M/S JANAKI ENGINEERING,06-Mar-2025 01:00 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
