S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,REVISED DTCN,Technical Bid,,"Executive Officer, Balasore Municipality",Balasore Municipality Office,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Imp. of BT road from Block office front to Sadbhabana gruha main gate in W.N-18,Imp. of BT road from Block office front to Sadbhabana gruha main gate in W.N-18,Please refer Tender documents. ,NA ,"4,23,729",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"4,237",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,AOC,EO CP ME AE,Internal,,Pradeep Kumar Nayak,11-Jun-2025 01:52 PM,techsummary_533139.pdf (500.06 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,16-Jun-2025 02:21 PM,finsummary_533139.pdf (500.06 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 02:21 PM,,BOQ Comparative Chart,16-Jun-2025,"INR 423,729",60.0,Pradeep Kumar Nayak,16-Jun-2025 02:27 PM,WO0634.pdf (494.00 KB),1.0,2868771.0,MADAN BEHERA,INR,"418,601.88",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_34,BM_06_2024_25,Imp. of BT road from Block office front to Sadbhabana gruha main gate in W.N-18,1,2868771,MADAN BEHERA,26-Mar-2025 10:33 AM,Accepted-AOC,wo,16-Jun-2025 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2868824,SUKANTA PATRA,26-Mar-2025 11:05 AM,Rejected-Technical,L2,11-Jun-2025 01:52 PM,AOC
