Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"RC,GST,PAN,Affidavit and other Relevant documents as per DTCN clauses","59,100",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,01-Nov-2024 10:00 AM,19-Nov-2024 11:30 AM,01-Nov-2024 10:00 AM,18-Nov-2024 05:00 PM,01-Nov-2024 10:00 AM ,18-Nov-2024 01:00 PM ,01-Nov-2024 10:00 AM,18-Nov-2024 05:00 PM,02-Jan-2025 01:00 PM,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB Division Boudh,SEBDH07/2024-25,2024_EICCL_106149_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE Boudh R and B Division Boudh,Office of the SE Boudh R and B Division Boudh,1.0,Date extension,Date,,Construction Of Paddy Procurement Center In Odisha At Roxa in the district of Boudh,Composite work,Please refer tender documents ,NA ,"59,01,460",Civil Works - Buildings,NA ,Tender,90.0,90.0,Boudh,762014.0,NA ,NA ,NA ,Office of the SE Boudh R and B Division Boudh,No ,No,AOC,Technical,03 Nos. bidder participated,Lingaraj Sethi,02-Jan-2025 11:09 AM,technical_513200.pdf,Sandeep Ku Chhualsingh,Internal,EST DAO SE,Sandeep Kumar Chhualsingh,03-Jun-2025 12:59 PM,finsummary_513200.pdf (914.78 KB),Finance,03 Nos. bidder participated,Pravat Kumar Das,02-Jan-2025 06:46 PM,finance_513200.pdf,BOQ Comparative Chart,Pravat Kumar Das,Internal,SE DAO EST,Lingaraj Sethi,02-Jan-2025 12:20 PM,02-Jan-2025 01:00 PM,techsummary_513200.pdf (193.73 KB),11-Jun-2025,"INR 5,016,832",90.0,Sandeep Kumar Chhualsingh,11-Jun-2025 05:46 PM,2557.pdf (794.00 KB),1,2651322,BAIJAYANTI JAGADALA,18-Nov-2024 12:15 PM,Rejected-Finance,Disqualified,03-Jun-2025 12:59 PM,EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB Division Boudh,2024_EICCL_106149_15,SEBDH07/2024-25,Construction Of Paddy Procurement Center In Odisha At Roxa in the district of Boudh,1.0,2647989.0,KIRAN KUMAR PRADHAN,INR,"5,016,832",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2647989,KIRAN KUMAR PRADHAN,15-Nov-2024 10:07 PM,Accepted-AOC,Qualified,11-Jun-2025 05:46 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2641091,SRIKANTA MAHAKUD,13-Nov-2024 01:23 PM,Rejected-Finance,Disqualified,03-Jun-2025 12:59 PM,,,,,,,,,,AOC
