S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","COMMISSIONER, SMC","New Office Building, SMC Durgapali,Sambalpur","16,429",Yes,percentage,1.0%,Nil,Nil,"Construction of paver block road from Road from starting Point of Lane 1, New Colony to Sanatan Dalua house in Ward no .-29","Construction of paver block road from Road from starting Point of Lane 1, New Colony to Sanatan Dalua house in Ward no .-29",Please refer Tender documents. ,NA ,"16,42,947",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,Municipal Bodies||Sambalpur Municipal Corporation,33/SMC_SBP/2024-25,2025_ORULB_111711_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,20-Mar-2025 11:00 AM,02-Apr-2025 11:00 AM,20-Mar-2025 11:00 AM,29-Mar-2025 05:00 PM,NA ,NA ,20-Mar-2025 11:00 AM,29-Mar-2025 05:00 PM,AOC,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Vedbhushan .,24-Jun-2025 12:41 PM,techsummary_533531.pdf (2317.07 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Vedbhushan .,24-Jun-2025 12:44 PM,finsummary_533531.pdf (2317.07 KB),Finance,TENDER OPENED,Vedbhushan .,05-Apr-2025 10:10 AM,finance_533531.pdf,BOQ Comparative Chart,24-Jun-2025,"INR 1,642,945",90.0,Vedbhushan .,24-Jun-2025 12:46 PM,3314.pdf (2317.00 KB),SUCCESSFUL,1.0,2873333.0,MOHAMMAD SHABIRUL HAQUE,INR,"1,642,945",Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_111711_14,33/SMC_SBP/2024-25,"Construction of paver block road from Road from starting Point of Lane 1, New Colony to Sanatan Dalua house in Ward no .-29",1,2873296,ABDUL AZIZ ANSARY,29-Mar-2025 02:44 PM,Rejected-Technical,UNSUCCESSFUL,24-Jun-2025 12:41 PM,AOC
2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873333,MOHAMMAD SHABIRUL HAQUE,29-Mar-2025 03:17 PM,Accepted-AOC,SUCCESSFUL,24-Jun-2025 12:46 PM,AOC
