Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,11 nos bid opened,Bebisuta Sahu,24-Apr-2025 06:20 PM,finance_524987.pdf,BOQ Comparative Chart,10-Jun-2025,"INR 323,834",30.0,Barsha Rani Pagada,13-Jun-2025 05:35 PM,910.pdf (560.00 KB),1.0,2764158.0,ABHISHEK SARAF,INR,"323,834",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_109212_23,EEPTNG-online-10/2024-25,Special Repair of Tahasil office at Khaprakhol for the year 2024-25,1,2764158,ABHISHEK SARAF,19-Jan-2025 11:47 AM,Accepted-AOC,Successful bidder,13-Jun-2025 05:37 PM,Executive Engineer,Internal,"Executive Engineer,DAO,Estr.",Bebisuta Sahu,24-Apr-2025 06:27 PM,techsummary_524987.pdf (630.25 KB),Executive Engineer,Internal,"Executive Engineer,DAO,Estr.",Bebisuta Sahu,24-Apr-2025 06:37 PM,finsummary_524987.pdf (630.25 KB),AOC,"3,810",Yes,fixed,,Nil,Nil,"Executive Engineer, R.W.Division,Patnagarh","O/o the Executive Engineer, R.W.Division,Patnagarh",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD,EMD,AFFIDAVIT,RC, PAN NO,GST NUMBER AND OTHER DOCUMENTS AS PER DTCN",10-Jan-2025 09:00 AM,21-Jan-2025 11:00 AM,10-Jan-2025 09:00 AM,20-Jan-2025 05:00 PM,10-Jan-2025 09:00 AM ,18-Jan-2025 05:00 PM ,10-Jan-2025 09:00 AM,20-Jan-2025 05:00 PM,Special Repair of Tahasil office at Khaprakhol for the year 2024-25,Special Repair of Tahasil office at Khaprakhol for the year 2024-25,Please refer Tender documents. ,NA ,"3,81,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Executive Engineer, R.W.Division,Patnagarh",No ,No,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-10/2024-25,2025_CERWI_109212_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2764594,BHOLANATH MEHER,19-Jan-2025 02:56 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2766638,JAYANTA MEHER,20-Jan-2025 03:41 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2762585,JAYARAM NAG,18-Jan-2025 02:35 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2763140,PINKU MEHER,18-Jan-2025 06:21 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2756408,RAMESH CHANDRA PRADHAN,16-Jan-2025 05:54 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2766890,Ranjan Kumar Sahu,20-Jan-2025 04:27 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2766324,SATYA NARAYAN PANDA,20-Jan-2025 02:30 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2763958,SHYAMALENDU SINGHADEO,19-Jan-2025 04:32 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2744266,SUBASH CHANDRA AGRAWAL,12-Jan-2025 09:39 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,24-Apr-2025 06:37 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
