EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"12,45,200",Yes,percentage,1.0%,Nil,Nil,CE RW I,Tender Online-14/2023-24 (Bridges),2024_CERWI_100942_10,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GST, PAN, RC, Affidavit correctness certificate and no relation certificate",Construction of H.L. Bridge over river BHASKEL on Jamuguda to Nandapura P.S. road in the district of Nabarangpur,Construction of H.L. Bridge over river BHASKEL on Jamuguda to Nandapura P.S. road in the district of Nabarangpur under BSY for the year 2022-23,Please refer Tender documents. ,NA ,"12,45,20,024",Civil Works - Bridges,NA ,Tender,90.0,547.0,Nabarangpur,751001.0,NA ,NA ,NA ,Office of EIC RW Odisha Bhubaneswar,No ,No,Chief Engineer Buildings and Bridges,Office of EIC RW Odisha Bhubaneswar,"10,000",0.0,Nil,Nil,No,13-Feb-2024 09:00 AM,23-Feb-2024 11:00 AM,13-Feb-2024 09:00 AM,22-Feb-2024 05:00 PM,13-Feb-2024 09:00 AM ,21-Feb-2024 02:00 PM ,13-Feb-2024 09:00 AM,22-Feb-2024 05:00 PM,14-Aug-2024 11:00 AM,AOC,EIC RW-II,Internal,CE Bridge and Buildings EE Bridges AO Sr DAO,Dinabandhu Behura,09-Aug-2024 07:17 PM,14-Aug-2024 11:00 AM,techsummary_492540.pdf (283.94 KB),Finance,Price bid opened,Ramesh Chandra Behera,14-Aug-2024 03:22 PM,,BOQ Comparative Chart,EIC RW-II,Internal,,Dinabandhu Behura,19-Jun-2025 07:35 PM,finsummary_492540.pdf (187.22 KB),Technical,Four bidders participated,Kishor kumar Mishra,23-Feb-2024 01:15 PM,,CE RW I,2024_CERWI_100942_10,Tender Online-14/2023-24 (Bridges),Construction of H.L. Bridge over river BHASKEL on Jamuguda to Nandapura P.S. road in the district of Nabarangpur,1.0,2446969.0,DEMANTI AGRAWAL,INR,"112,080,474",1,2446969,DEMANTI AGRAWAL,17-Feb-2024 05:57 PM,Accepted-AOC,Agreement no 1074 P1 of 2024-25,19-Jun-2025 07:38 PM,19-Jun-2025,"INR 112,080,474",547.0,Dinabandhu Behura,19-Jun-2025 07:38 PM,Jamaguda.pdf (187.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Labour licence, Work experience, Work in hand, ATO, Similar nature of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2451960,JMBG CONSTRUCTION,22-Feb-2024 12:51 PM,Rejected-Finance,2nd lowest,19-Jun-2025 07:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries owned obtained on hire and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2453702,Malaya Bisoyi,22-Feb-2024 01:29 PM,Rejected-Finance,3rd lowest,19-Jun-2025 07:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2454396,PRABHAT KUMAR BISOYI,22-Feb-2024 01:39 PM,Rejected-Finance,4th lowest,19-Jun-2025 07:35 PM,,,,,,,AOC
