S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2847066.0,M/S. M.C.C. ASSOCIATES,INR,"2,150,575",Finance,Summary,Sanjib Kumar Behera,01-Jun-2025 12:47 PM,,BOQ Comparative Chart,Sanjib Kumar Behera,Internal,,Sudipta Panda,23-Jun-2025 11:45 AM,finsummary_532140.pdf (721.20 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2025_EICCL_111152_6,eTCN12,"Supply, Installation, Testing and Commissioning of 125 KVA Diesel Generator set at Govt Polytechnic, Nayagarh for 2024 2025",Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 12:57 PM,techsummary_532140.pdf (394.53 KB),23-Jun-2025,"INR 2,150,575",30.0,Sudipta Panda,23-Jun-2025 11:47 AM,DGpolytechnic.pdf (721.00 KB),1,2850634,ABC CONSTRUCTIONS,11-Mar-2025 02:25 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,1.0,ICICI BANK,"25,298",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, Licence, Affidavit, Schedule, PAN, GST etc.",04-Mar-2025 11:00 AM,12-Mar-2025 11:00 AM,04-Mar-2025 11:00 AM,11-Mar-2025 05:00 PM,NA ,NA ,04-Mar-2025 11:00 AM,11-Mar-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN12,2025_EICCL_111152_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superitending Engineer,"O/o of the SE, Nayagarh RandB Division","Supply, Installation, Testing and Commissioning of 125 KVA Diesel Generator set at Govt Polytechnic, Nayagarh for 2024 2025","Supply, Installation, Testing and Commissioning of 125 KVA Diesel Generator set at Govt Polytechnic, Nayagarh for 2024 2025",Please refer Tender documents. ,NA ,"25,29,791",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,"O/o of the SE, Nayagarh RandB Division",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2850571,ALOK KUMAR MOHAPATRA,11-Mar-2025 01:50 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2850457,ANIL KUMAR SAHU,11-Mar-2025 01:01 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2845485,BABA ELECTRICAL CONSTRUCTION,10-Mar-2025 11:59 AM,Rejected-Finance,Selected through Transparency Lottery,23-Jun-2025 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2846949,Dillip Ranjan Das,08-Mar-2025 08:50 AM,Rejected-Finance,Selected through Transparency Lottery,23-Jun-2025 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2849909,ECO ELECTRIC POWER SOLUTIONS,11-Mar-2025 08:45 AM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2850048,MINATI MAHARANA,11-Mar-2025 07:07 AM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2850736,MPower Energy Solutions,11-Mar-2025 03:28 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2847066,M/S. M.C.C. ASSOCIATES,08-Mar-2025 12:11 PM,Accepted-AOC,AOC,23-Jun-2025 11:47 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2845371,"M/s Ramchandi Construction, Nayagargh",06-Mar-2025 12:12 PM,Rejected-Technical,Disqualified,01-Jun-2025 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
