Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-42/2024-25 Dt. 30.11.2024,2024_ORULB_107792_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Scanned copies of all document,"55,700",Yes,fixed,,Nil,Nil,Executive Engineer (Central Tender Cell),"Central Tender Cell, ICOMC Tower, BMC",Construction of Road and drain from Jugaraj Panda resident to Panchanana Sahu at Aerodrome area in ward no. 53,Construction of Road and drain from Jugaraj Panda resident to Panchanana Sahu at Aerodrome area in ward no. 53,Please refer Tender documents. ,NA ,"55,63,795",Civil Works - Roads,NA ,Tender,120.0,90.0,"BMC,AREA",751022.0,Office chamber of EE (Central Tender Cell) ,"Central Tender Cell,UG Floor,ICOMC Tower,BMC ",10-Dec-2024 11:30 AM ,"CENTRAL TENDER CELL,BMC",No ,No,"10,000",0.0,Nil,Nil,No,1,ICICI BANK,04-Dec-2024 04:00 PM,19-Dec-2024 11:30 AM,04-Dec-2024 04:00 PM,18-Dec-2024 05:00 PM,04-Dec-2024 04:00 PM ,09-Dec-2024 04:00 PM ,04-Dec-2024 04:00 PM,18-Dec-2024 05:00 PM,07-Feb-2025 03:00 PM,AOC,City engineer,Internal,"EETENDERCELL,EEDIVISON-III,EEDRAINAGE,ZC(LEGAL)BMC,CFO,CITYENGINEER",Lipsa Parida,07-Feb-2025 12:47 PM,07-Feb-2025 03:00 PM,techsummary_519047.pdf (1342.91 KB),Finance,2 bids opened successfully,Lipsa Parida,07-Feb-2025 04:39 PM,finance_519047.pdf,BOQ Comparative Chart,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Jun-2025 03:38 PM,finsummary_519047.pdf (462.60 KB),Technical,2 bids opened successfully,Lipsa Parida,19-Dec-2024 05:12 PM,technical_519047.pdf,1,2701932,ASIT KUMAR DALAI,18-Dec-2024 11:35 AM,Accepted-AOC,L1 bidder,16-Jun-2025 03:41 PM,Municipal Bodies||Bhubaneswar Municipal Corporation,2024_ORULB_107792_11,BMC-EE-Tender Cell-42/2024-25 Dt. 30.11.2024,Construction of Road and drain from Jugaraj Panda resident to Panchanana Sahu at Aerodrome area in ward no. 53,1.0,2701932.0,ASIT KUMAR DALAI,INR,"6,758,954",16-Jun-2025,"INR 6,758,954",90.0,Lipsa Parida,16-Jun-2025 03:40 PM,workorder_42_11.pdf (541.00 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2696600,RAJENDRA KUMAR MALLICK,17-Dec-2024 05:10 PM,Rejected-Finance,Rejected,16-Jun-2025 03:38 PM,,,,,,,,,,,,,,,,AOC
