Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,16 bids opened successfully,Lipsa Parida,21-May-2025 04:50 PM,finance_536912.pdf,BOQ Comparative Chart,City engineer,Internal,"EETENDERCELL,EEDRAINAGE,ADDCOMMISSIONER(LEGAL)BMC,CFO,CITYENGINEER",Lipsa Parida,21-May-2025 01:29 PM,21-May-2025 03:00 PM,techsummary_536912.pdf (324.76 KB),23-Jun-2025,"INR 9,659,587",180.0,Priyabrata Behera,23-Jun-2025 12:24 PM,wo_57_25.pdf (1550.00 KB),1,2903196,ABHILASH BHATTA,01-May-2025 02:08 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,1.0,2903687.0,ABHISHEK KARTIK RAY,INR,"9,659,587",CITY ENGINEER,Internal,"CITY ENGINEER ,EE DRAINAGE,EE TENDERCELL,CFO,ZC(LEGAL)",Priyabrata Behera,23-Jun-2025 12:19 PM,finsummary_536912.pdf (3896.20 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_112568_6,BMC-EE-Tender Cell-06/2025-26 dt. 11.04.2025,Cleaning of R and B drain in BMC under R and B Division-IV,Technical,17 bids opened successfully,Taras Marandi,02-May-2025 04:42 PM,technical_536912.pdf,AOC,"96,300",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-06/2025-26 dt. 11.04.2025,2025_ORULB_112568_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,17-Apr-2025 03:00 PM,02-May-2025 03:30 PM,17-Apr-2025 03:00 PM,02-May-2025 03:00 PM,17-Apr-2025 03:00 PM ,21-Apr-2025 04:30 PM ,17-Apr-2025 03:00 PM,02-May-2025 03:00 PM,21-May-2025 03:00 PM,Cleaning of R and B drain in BMC under R and B Division-IV,Cleaning of R and B drain in BMC under R and B Division-IV,Please refer Tender documents. ,NA ,"96,29,563",Civil Works - Others,NA ,Tender,120.0,180.0,BMC Area,751022.0,Office chamber of EE (Central Tender Cell) ,"UG Floor,Central Tender Cell,ICOMC Tower, BMC ",22-Apr-2025 12:30 PM ,"Central Tender Cell, BMC",No ,No,"Executive Engineer, Central Tender Cell,BMC","UG Floor,Central Tender Cell,ICOMC Tower, BMC",1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all the documents,AOC
,,,,,,,,,,,,,,,,,,,2,2903687,ABHISHEK KARTIK RAY,02-May-2025 12:07 PM,Accepted-AOC,1st lottery winner,23-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,3,2903298,AMBUJA BHUSAN SETHY,01-May-2025 03:42 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,2902686,AMIN BARISAL,30-Apr-2025 07:20 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,2893342,AQUA SERVICES,30-Apr-2025 07:35 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,2900251,BALADEVJEW CONSTRUCTIONS PRIVATE LIMITED,29-Apr-2025 02:07 PM,Rejected-Technical,Technically disqualified,21-May-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,2903840,BHABANI SANKAR MALLIA,02-May-2025 02:34 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,2903369,M/S OMM SAI ASSOCIATES,01-May-2025 04:33 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,2894004,M/S SATYAM AGENCY (PROPRIETOR) SMT. ROJALINI RATH,01-May-2025 11:56 AM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,2903278,Nabaghana Parida,01-May-2025 03:05 PM,Rejected-Finance,other than 1st lottery winner,23-Jun-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
