Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial Bid Opened,G. TARESWAR RAO,06-Jan-2025 12:36 PM,finance_510420.pdf,BOQ Comparative Chart,1,2616552,AGRAWALLA POWER INFRASTRUCTURE,05-Nov-2024 12:58 AM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,Technical,Admitted,G. TARESWAR RAO,06-Nov-2024 03:30 PM,,30-Apr-2025,"INR 2,831,796",90.0,G. TARESWAR RAO,20-Jun-2025 08:32 PM,PKG04.pdf (102.00 KB),Awarded of Work,G T Rao,Internal,,G. TARESWAR RAO,08-Apr-2025 12:30 PM,finsummary_510420.pdf (2475.64 KB),G T Rao,Internal,,G. TARESWAR RAO,30-Dec-2024 12:39 PM,06-Jan-2025 12:00 PM,techsummary_510420.pdf (2475.64 KB),Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2024_OLIC_105822_4,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,Installation and Energization of Package 04,1.0,2613467.0,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,INR,"2,831,796",AOC,1.0,Fee/PreQual/Technical,.pdf,DTCN,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,2024_OLIC_105822_4,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"E.E, L.I Division, Bhadrak","E.E, L.I Division, Bhadrak",Installation and Energization of Package 04,Installation and Energization of Package 04,As per mentioned in DTCN ,NA ,"23,99,827",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I Division, Bhadrak",No ,No,"23,998",Yes,percentage,1.0%,Nil,Nil,22-Oct-2024 11:00 AM,06-Nov-2024 11:00 AM,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,22-Oct-2024 11:00 AM ,05-Nov-2024 05:00 PM ,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,06-Jan-2025 12:00 PM,AOC
,,,,,,2,2605442,AMALENDU NAYAK,04-Nov-2024 09:07 AM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Tender Notice,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,2617452,BISWONATH NAYAK,05-Nov-2024 09:59 AM,Rejected-Technical,Rejected,30-Dec-2024 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2617291,CHANDRAGUPTA LENKA,05-Nov-2024 02:36 PM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2605306,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,04-Nov-2024 01:27 PM,Rejected-Technical,Rejected,30-Dec-2024 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2607933,KAPIL JENA,02-Nov-2024 08:57 PM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2618448,KAUSHIK CHANDAN,05-Nov-2024 01:38 PM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2602383,LAKSHMIMANI GIRI,03-Nov-2024 08:53 AM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2620090,LOKESH KUMAR PRADHAN,05-Nov-2024 04:59 PM,Rejected-Finance,Due to in L2 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2611273,Manas Kumar Jena,03-Nov-2024 10:33 PM,Rejected-Finance,Due to in L3 Position,08-Apr-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
