Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Housing and Urban Development Department||Directorate of Town Planning,"02-DTP-HUDD,Dt.18-12-2024",2024_HUDD_108545_3,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,20-Dec-2024 10:00 AM,21-Jan-2025 03:00 PM,20-Dec-2024 10:00 AM,20-Jan-2025 05:00 PM,20-Dec-2024 10:00 AM ,03-Jan-2025 03:00 PM ,20-Dec-2024 10:00 AM,20-Jan-2025 05:00 PM,12-Feb-2025 06:30 PM,"Consultancy Services for Sub-Scheme on Formulation of GIS based CDP / Master Plan for Class-II Seven towns with Population of 50,000 - 99,999 under AMRUT 2.0 under Three Packages in Odisha State","Consultancy Services for Sub-Scheme on Formulation of GIS based CDP / Master Plan for Class-II Seven towns with Population of 50,000 - 99,999 under AMRUT 2.0 under Three Packages in Odisha State Package-3",As per RFP ,NA ,,Consultancy Services,Consultancy Services ,Tender,90.0,385.0,Bhubaneswar,751001.0,Bhubaneswar ,"Directorate of Town Planning, HUD Department, Power House Square, Unit-V, Keshari Nagar, Bhubaneswar, Dist.Khurda, Odisha ",06-Jan-2025 04:00 PM ,Bhubaneswar,No ,No,1.0,ICICI BANK,"10,000",Nil,Nil,Yes,"5,00,000",Yes,fixed,,Nil,Nil,"Director, Directorate of Town Planning, HUD Dept","Directorate of Town Planning, HUD Department, Power House Square, Unit-V, Keshari Nagar, Bhubaneswar, Dist.Khurda, Odisha",1.0,Fee/PreQual/Technical,.pdf,"Tender Fee / Pre-qualification / Technical Eligibility, as detailed in RFP Documents",AOC,06-Jun-2025,"INR 10,800,000",385.0,Santanu Kumar Ray,22-Jun-2025 02:51 PM,1677.pdf (5912.00 KB),"Amit Kiran, Regional Head, Mars Planning and Engineering Seryices Pvt. Ltd., C287, Yash Padam, Ashoknagar Main Road, Ranchi 834002, Jharkhand",Director Town Planning Odisha,Internal,Procurement Specialist HUDD Planning Member BDA Assistant Town Planner DTP Scientist ORSAC,Chandi Prasad Biswal,06-Jun-2025 12:23 PM,finsummary_521285.pdf (937.75 KB),Finance,Financial Bid Opened,Sanjukta Mohanty,12-Feb-2025 07:09 PM,,BOQ Comparative Chart,Technical,Technical Bid Opened,Santanu Kumar Ray,22-Jan-2025 03:52 PM,,1,2765892,ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT,20-Jan-2025 01:52 PM,Not Admitted-Finance,"Others-In-eligible vide Section 3, Clause 7-Preparation of Proposal, Page 25 of RFP Document",12-Feb-2025 07:09 PM,1.0,2766092.0,mars planning & engineering services pvt ltd,INR,"10,800,000",Housing and Urban Development Department||Directorate of Town Planning,2024_HUDD_108545_3,"02-DTP-HUDD,Dt.18-12-2024","Consultancy Services for Sub-Scheme on Formulation of GIS based CDP / Master Plan for Class-II Seven towns with Population of 50,000 - 99,999 under AMRUT 2.0 under Three Packages in Odisha State","Director, Town Planning, Odisha",Internal,"Asst. Town Planner DTP Odisha, Procurement Specialist HUD Dept, Chief Executive or Representative ORSAC, Under Secretary (Reforms) HUD Dept, AFA-cum-Deputy Secretary HUD Dept, Planning Member BDA",Santanu Kumar Ray,12-Feb-2025 06:27 PM,12-Feb-2025 06:30 PM,techsummary_521285.pdf (408.54 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2752091,Ecometrix Consultants Pvt. Ltd.,20-Jan-2025 12:07 PM,Not Admitted-Finance,"Others-In-eligible vide Section 3, Clause 7-Preparation of Proposal, Page 25 of RFP Document",12-Feb-2025 07:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2760236,FEEDBACK INFRA PRIVATE LIMITED,20-Jan-2025 03:20 PM,Rejected-AOC,L2,22-Jun-2025 02:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2766092,mars planning & engineering services pvt ltd,20-Jan-2025 04:53 PM,Accepted-AOC,L1 AoC,22-Jun-2025 02:51 PM,,,,,,,,,,,,,,,,,AOC
