Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Choudwar Municipality,CHM-13-2023/24,2024_ORULB_101272_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,Choudwar,1,ICICI BANK,"3,455",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,360",0.0,Nil,Nil,No,19-Feb-2024 06:00 PM,27-Feb-2024 11:00 AM,19-Feb-2024 06:00 PM,26-Feb-2024 05:30 PM,NA ,NA ,19-Feb-2024 06:00 PM,26-Feb-2024 05:30 PM,Construction of Paver Road from damodar nayak house towards bana sahoo house Ward no 3 Choudwar Municipality,civil works,Please refer Tender documents. ,NA ,"3,45,475",Civil Works - Others,NA ,Tender,60.0,60.0,Choudwar,754071.0,NA ,NA ,NA ,Choudwar Municipality,No ,No,AOC,Municipal Bodies||Choudwar Municipality,2024_ORULB_101272_2,CHM-13-2023/24,Construction of Paver Road from damodar nayak house towards bana sahoo house Ward no 3 Choudwar Municipality,EO,Internal,,Soumya Ranjan Mishra,19-Jun-2025 11:49 AM,finsummary_494048.pdf (566.88 KB),Finance,The Tender has been opened in presence of EO ME JE IN CHOUDWAR MUNICIPALITY,Sanjeeb Kumar Mohapatra,27-Feb-2024 03:17 PM,finance_494048.pdf,BOQ Comparative Chart,1.0,2460584.0,MANOJ KUMAR NAYAK,INR,"345,129",1,2459738,ASHOK KUMAR SAHOO,26-Feb-2024 01:55 PM,Rejected-Finance,LOWEST QOUTED RATE,19-Jun-2025 11:49 AM,19-Jun-2025,"INR 345,475",60.0,Soumya Ranjan Mishra,19-Jun-2025 11:51 AM,workorder2.pdf (611.00 KB),EO,Internal,,Soumya Ranjan Mishra,19-Jun-2025 11:46 AM,techsummary_494048.pdf (267.22 KB),AOC
,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2460584,MANOJ KUMAR NAYAK,26-Feb-2024 04:34 PM,Accepted-AOC,LOWEST QOUTED RATE,19-Jun-2025 11:51 AM,,,,,,,,,,,,,AOC
