Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,SUMMARY,Satya Narayan Behera,18-Jun-2025 07:52 PM,finance_507848.pdf,BOQ Comparative Chart,18-Jun-2025,"INR 3,471,778.95",180.0,Satya Narayan Behera,18-Jun-2025 08:05 PM,7689.PDF (239.00 KB),Awarded,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,2024_CERWI_105211_15,"01/RWD-I, MKG/2024-25",Construction of Day Care Subcenter Building at Salimi (under XV-FC) in the District of Malkangiri for the year 2024-25,1.0,2570983.0,PRAKASH MAJUMDAR,INR,"3,471,778.95",1,2570196,Amit Kumar Baul,06-Oct-2024 05:20 PM,Rejected-Technical,Not selected in Lottery,18-Jun-2025 07:58 PM,Executive Engineer,Internal,SujitBeheraEENabaKishorNagDAOSatyanarayanBeheraEstimator,Satya Narayan Behera,18-Jun-2025 07:58 PM,techsummary_507848.pdf (771.46 KB),Executive Engineer,Internal,SujitBeheraEENabaKishorNagDAOSatyanarayanBeheraEstimator,Satya Narayan Behera,18-Jun-2025 08:02 PM,finsummary_507848.pdf (771.46 KB),AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,"01/RWD-I, MKG/2024-25",2024_CERWI_105211_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"40,840",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"Superintending Engineer, RWD-I, Malkangiri","Superintending Engineer, RWD-I, Malkangiri",Construction of Day Care Subcenter Building at Salimi (under XV-FC) in the District of Malkangiri for the year 2024-25,Construction of Day Care Subcenter Building at Salimi (under XV-FC) in the District of Malkangiri for the year 2024-25,"GST,PANCARD,VALID REGN CERTIFICATE,AFFIDEVIT REGARDING CORRECTNESS/CERTIFICATE,NO RELATION CERTIFICATE ",NA ,"40,84,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,RW Division-I Malkangiri,764045.0,NA ,NA ,NA ,"Superintending Engineer, RWD-I, Malkangiri",No ,No,"6,000",0.0,Nil,Nil,No,27-Sep-2024 11:00 AM,08-Oct-2024 11:00 AM,27-Sep-2024 11:00 AM,07-Oct-2024 05:00 PM,27-Sep-2024 11:00 AM ,05-Oct-2024 05:00 PM ,27-Sep-2024 11:00 AM,07-Oct-2024 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2571285,KISHORE CHAKRABARTY,07-Oct-2024 02:46 PM,Rejected-Technical,Not selected in Lottery,18-Jun-2025 07:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2568365,PITABASH NATH,04-Oct-2024 02:25 PM,Rejected-Technical,Not Qualified,18-Jun-2025 07:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2570983,PRAKASH MAJUMDAR,07-Oct-2024 01:31 PM,Accepted-AOC,Avail Price Preference and willing to Execute the above work in 1st lowest rate.,18-Jun-2025 08:05 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2569588,SMRUTI RANJAN BEHERA,06-Oct-2024 07:30 PM,Rejected-Technical,Not Qualified,18-Jun-2025 07:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2571070,SUJAN MANDAL,07-Oct-2024 01:06 PM,Rejected-Technical,Not Qualified,18-Jun-2025 07:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
