S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
1.0,2244620.0,SAMIMA PARBIN,INR,"402,657.76",Finance,2 nos. of bidder have participated in bidding process,Nalini ranjan Sahoo,30-May-2025 11:39 AM,,BOQ Comparative Chart,Chairperson,Internal,,Kadambini Jena,02-Jun-2025 10:11 AM,finsummary_455968.pdf (114.10 KB),Municipal Bodies||Pipli NAC,2023_ORULB_93224_60,PIPILI-NAC-2(78-II)/2023-24,Construction of CC road With side from Juma House to canal(Tota Sahi) in Ward No 14,Chairperson,Internal,,Nalini ranjan Sahoo,30-May-2025 11:43 AM,techsummary_455968.pdf (113.41 KB),02-Jun-2025,"INR 402,657.76",60.0,Kadambini Jena,02-Jun-2025 10:16 AM,WO.pdf (158.00 KB),1,2244676,Bharat Chandra Biswal,10-Sep-2023 09:10 AM,Rejected-AOC,As per quoted rate,02-Jun-2025 10:17 AM,AOC,29-Aug-2023 12:00 PM,13-Sep-2023 11:00 AM,29-Aug-2023 12:00 PM,12-Sep-2023 05:00 PM,NA ,NA ,29-Aug-2023 12:00 PM,12-Sep-2023 05:00 PM,Municipal Bodies||Pipli NAC,PIPILI-NAC-2(78-II)/2023-24,2023_ORULB_93224_60,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,"Executive Officer, Pipli NAC","Office of the Executive Officer, Pipli NAC",Construction of CC road With side from Juma House to canal(Tota Sahi) in Ward No 14,Construction of CC road With side from Juma House to canal(Tota Sahi) in Ward No 14,Please refer Tender documents. ,NA ,"1,68,574",Civil Works - Roads,NA ,Tender,90.0,60.0,"Pipli NAC, ward no-14",752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC",No ,No,"4,030",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regist. of licence, GST, Regd, PAN, Paper cost, Affidavit, Decl and otfer doc as per DTCN",1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2244620,SAMIMA PARBIN,10-Sep-2023 07:47 AM,Accepted-AOC,As per quoted rate,02-Jun-2025 10:17 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,2,ICICI NEFT/RTGS,AOC
