S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2867939.0,SILVER CREEK CONSTRUCTIONS,INR,"39,457,728",CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_111713_1,Road Online N.C.B. No-370,Construction of Tirilipi Sarjamgoda to NH-49 Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Technical,16 Nos of bidders participated,Ashwani Pradhan,08-May-2025 12:31 PM,,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,16-May-2025 10:19 AM,finsummary_533413.pdf (1301.64 KB),"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,08-May-2025 12:39 PM,14-May-2025 11:00 AM,techsummary_533413.pdf (2467.39 KB),Finance,14 Nos of bidders admitted,Ashwani Pradhan,16-May-2025 10:13 AM,,BOQ Comparative Chart,18-Jun-2025,"INR 39,457,728",270.0,Akshaya Kumar Naik,21-Jun-2025 11:38 AM,Tirilipi.pdf (569.00 KB),1,2873709,Basanta Kumar Paibarty,30-Mar-2025 09:18 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-370,2025_CERWI_111713_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,17-Mar-2025 03:00 PM,03-Apr-2025 11:00 AM,17-Mar-2025 03:00 PM,02-Apr-2025 05:00 PM,17-Mar-2025 03:00 PM ,29-Mar-2025 05:00 PM ,17-Mar-2025 03:00 PM,02-Apr-2025 05:00 PM,14-May-2025 11:00 AM,"4,64,150",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,CCE RWC Baripada,CCE RWC Baripada,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Construction of Tirilipi Sarjamgoda to NH-49 Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Construction of Tirilipi Sarjamgoda to NH-49 Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"4,64,15,000",Civil Works - Roads,NA ,Tender,90.0,270.0,"SERW Division, Rairangpur",757043.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873627,BIJAYA NANDA MANDAL,01-Apr-2025 05:11 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2867719,BIPLAB KUMAR GIRI,02-Apr-2025 03:39 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2870531,CHINMAYANANDA GIRI,27-Mar-2025 01:12 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2870851,Harihara Giri,28-Mar-2025 02:15 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2874239,JEETESH RANJAN BEHERA,01-Apr-2025 12:29 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2869621,JOGESWAR MOHANTA,30-Mar-2025 05:10 PM,Rejected-Technical,Non submission of declaration regarding distance of Hotmix Plant,08-May-2025 12:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2865530,KIRAN KUMAR DAS,23-Mar-2025 06:57 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2867344,MANOJ KUMAR MOHANTY,24-Mar-2025 08:57 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2873826,MS SHAKTIMAN BUILDERS,31-Mar-2025 01:13 PM,Rejected-AOC,L1,21-Jun-2025 11:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
