S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2909840.0,MAHESWAR SAHOO,INR,"6,985,617",Er.Soumya Ranjan Dwibedi,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Soumya Ranjan Dwibedi,31-May-2025 04:43 PM,finsummary_538331.pdf (861.03 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_113084_1,TCN NO 4 OF 2025-26,"Improvement to road from Batagaon to Medical Square (from ch. 0/500 km to 1/200 km, 1/750 km to 2/00 km, and 2/800 km to 3/200 km) for ensuing Car-Festival 2025 (Such as providing wearing coat with SDBC)",Technical,Total 10 Nos Bidder are participated in the online tender,Soumya Ranjan Dwibedi,09-May-2025 12:13 PM,,Finance,Total 10 nos bidder are admitted,Smita Pal,14-May-2025 10:39 AM,,BOQ Comparative Chart,Er Soumya Ranjan Dwibedi,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Soumya Ranjan Dwibedi,14-May-2025 10:17 AM,14-May-2025 10:30 AM,techsummary_538331.pdf (486.69 KB),1,2909951,BHAJAMAN SAHOO,09-May-2025 07:08 AM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,01-Jun-2025,"INR 6,985,617",30.0,Soumya Ranjan Dwibedi,01-Jun-2025 11:09 AM,AOC.pdf (1483.00 KB),The bidder won the transparency lottery among the qualified bidder so that the work has been awarded to him,AOC,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER, AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTC",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 4 OF 2025-26,2025_EICCL_113084_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,03-May-2025 03:00 PM,09-May-2025 12:00 PM,03-May-2025 03:00 PM,09-May-2025 11:00 AM,NA ,NA ,03-May-2025 03:00 PM,09-May-2025 11:00 AM,14-May-2025 10:30 AM,"82,174",Yes,percentage,1.0%,Nil,Nil,Er. Soumya Ranjan Dwibedi,"O/o the S.E R and B Division, Puri","Improvement to road from Batagaon to Medical Square (from ch. 0/500 km to 1/200 km, 1/750 km to 2/00 km, and 2/800 km to 3/200 km) for ensuing Car-Festival 2025 (Such as providing wearing coat with SDBC)","Improvement to road from Batagaon to Medical Square (from ch. 0/500 km to 1/200 km, 1/750 km to 2/00 km, and 2/800 km to 3/200 km) for ensuing Car-Festival 2025 (Such as providing wearing coat with SDBC)",Please refer Tender documents. ,NA ,"82,17,406",Civil Works - Roads,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E R and B Division, Puri",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2908969,BIMAL PRASAD SAMANTARAY,08-May-2025 01:14 PM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2909949,CHINKU MALLICK,09-May-2025 09:00 AM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2909840,MAHESWAR SAHOO,08-May-2025 08:49 PM,Accepted-AOC,The bidder won the transparency lottery among the qualified bidder so that the work has been awarded to him,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2909888,MANAS BISWAL,08-May-2025 10:10 PM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2907202,PABITRA KUMAR PARIDA,08-May-2025 04:11 AM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2909387,PRAKASH CHANDRA DAS,08-May-2025 03:14 PM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2909950,RAMAKANTA BISWAL,09-May-2025 07:08 AM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2909948,SUBRAT KUMAR DASH,09-May-2025 01:16 AM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2909100,SURESH KUMAR GHADEI,08-May-2025 01:39 PM,Rejected-AOC,Rejected,01-Jun-2025 11:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
