Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Summary,Soubhagya Kumar Mohapatra,28-Jan-2025 06:35 PM,finance_524757.pdf,BOQ Comparative Chart,05-Jun-2025,"INR 3,138,520",270.0,Dipika Majhi,05-Jun-2025 01:50 PM,1160.pdf (6658.00 KB),AoC,1.0,2747766.0,RAJESH KUMAR DAS,INR,0,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_109233_12,Tender Online No-07 of 2024-25,Construction of SC-HWC at Gorada for the year 2024-25,1,2762952,ASHOK KUMAR SAHOO,18-Jan-2025 02:38 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,"SE,RW,JSPUR",Internal,,Soubhagya Kumar Mohapatra,28-Jan-2025 06:38 PM,techsummary_524757.pdf (613.95 KB),SERWJSPUR,Internal,,Dipika Majhi,05-Jun-2025 01:44 PM,finsummary_524757.pdf (681.53 KB),AOC,09-Jan-2025 11:00 AM,20-Jan-2025 11:00 AM,09-Jan-2025 11:00 AM,18-Jan-2025 05:00 PM,09-Jan-2025 11:00 AM ,17-Jan-2025 03:00 PM ,09-Jan-2025 11:00 AM,18-Jan-2025 05:00 PM,1.0,ICICI BANK,"O/o the S.E, RWD, Jagatsinghpur","O/o the S.E, RWD, Jagatsinghpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation, Affidavit towards Correctness Certificate.","36,920",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online No-07 of 2024-25,2025_CERWI_109233_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Construction of SC-HWC at Gorada for the year 2024-25,Construction of SC-HWC at Gorada for the year 2024-25,Please refer Tender documents. ,NA ,"36,92,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Jagatsinghprr,754103.0,NA ,NA ,NA ,"O/o the S.E, RWD, Jagatsinghpur",No ,No,AOC
,,,,,,,,,,,,,2.0,2763535.0,BASUDEV CONSTRUCTION PROP. PRAKASH PARIDA,INR,"3,138,520",,,,,2,2763099,BANDANA BEHERA,18-Jan-2025 03:04 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2763535,BASUDEV CONSTRUCTION PROP. PRAKASH PARIDA,18-Jan-2025 04:22 PM,Accepted-AOC,L1 bidder,05-Jun-2025 01:50 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2752427,MILLAN MALLA PROPRIETOR SARALA FABRICATION,17-Jan-2025 07:42 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2756409,MRUTYUNJAYA SWAIN,16-Jan-2025 05:52 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2757062,NAMITA PARIJA,16-Jan-2025 08:36 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2753630,NIRUPAMA BEHERA,15-Jan-2025 10:14 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2756339,NITYANANDA ROUT,16-Jan-2025 05:24 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2747766,RAJESH KUMAR DAS,14-Jan-2025 09:13 PM,Accepted-AOC,Rejected L2 bidder,05-Jun-2025 01:50 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2747791,RAMJAMUNA CONSTRUCTION,14-Jan-2025 09:20 PM,Rejected-Technical,L2 bidder,28-Jan-2025 06:38 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
