Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of H.L. Bridge over Local Nallah at 4-110 Km on Malidihi to Godalpada road in the District of Jharsuguda under State Plan for the year 2023-24,BRIDGE WORK,Please refer Tender documents. ,NA ,"7,93,80,848",Civil Works - Bridges,NA ,Tender,90.0,540.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,29-Nov-2024 09:00 AM,13-Dec-2024 05:30 PM,29-Nov-2024 09:00 AM,13-Dec-2024 05:00 PM,29-Nov-2024 09:00 AM ,05-Dec-2024 05:00 PM ,29-Nov-2024 09:00 AM,13-Dec-2024 05:00 PM,28-Jan-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit","7,93,900",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (RANDB) /13/ 2024-25,2024_EICCL_107623_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",AOC,23-Jun-2025,"INR 67,481,659",540.0,Rama Chandra Sethi,23-Jun-2025 08:44 AM,AGTMALDIHI4110.pdf (2322.00 KB),AGT DRAWN,1,2695129,AMARDEEP AGARWALLA,13-Dec-2024 03:51 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,"CCE,NORTHERN R AND B CIRCLE,SAMBALPUR",Internal,,Anam Charan Sahoo,25-Jan-2025 06:40 PM,28-Jan-2025 11:00 AM,techsummary_518137.pdf (491.38 KB),Finance,FINANCIAL BID OPENED,Anam Charan Sahoo,30-Jan-2025 01:00 PM,,BOQ Comparative Chart,Technical,TECHNICAL BID OPENED,Rama Chandra Sethi,17-Dec-2024 10:26 AM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2024_EICCL_107623_1,CCENC (RANDB) /13/ 2024-25,Construction of H.L. Bridge over Local Nallah at 4-110 Km on Malidihi to Godalpada road in the District of Jharsuguda under State Plan for the year 2023-24,CCE NC,Internal,,Rama Chandra Sethi,23-Jun-2025 08:41 AM,finsummary_518137.pdf (2051.56 KB),1.0,2694157.0,PRDIP KUMAR AGRAWAL,INR,"67,481,659",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2693460,BIJAY KUMAR AGARWAL,13-Dec-2024 01:37 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2691732,D. K. Engineering and Construction,13-Dec-2024 11:32 AM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2694880,MAA SANTOSHI ENTERPRISES,13-Dec-2024 01:51 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2692443,MS SHREE SHARDA CONSTRUCTIONS,13-Dec-2024 12:41 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2691293,Orient Constructions Pvt. Ltd.,11-Dec-2024 05:55 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2691851,PRAVEEN AGRAWAL,12-Dec-2024 09:28 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2694157,PRDIP KUMAR AGRAWAL,13-Dec-2024 04:51 PM,Accepted-AOC,AGT DRAWN,23-Jun-2025 08:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2692348,SAJAN KUMAR GUPTA,13-Dec-2024 01:19 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2694546,Surendra Mohanty,13-Dec-2024 11:20 AM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
