Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Providing Durashine Sheet Roofing to the roof slab of Sub Judge Court Building for the year 24-25,durashine work,Please refer Tender documents. ,NA ,"14,55,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,koraput,764020.0,NA ,NA ,NA ,o/o SE R and B koraput,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidevits,undertakings,GST,PAN,LISENCE AND OTHER DOCUMENTS","6,000",0.0,Nil,Nil,No,"15,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum,Other,,1,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,SE R AND B KPT 18/24-25,2025_EICCL_110988_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,o/o SE R and B koraput,o/o SE R and B koraput,24-Feb-2025 11:00 AM,12-Mar-2025 12:00 PM,24-Feb-2025 11:00 AM,11-Mar-2025 05:00 PM,NA ,NA ,24-Feb-2025 11:00 AM,11-Mar-2025 05:00 PM,AOC,Superintending Engineer,Internal,"JE ESTIMATORAE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Shubhakanta Barik,22-Apr-2025 06:46 PM,finsummary_531014.pdf (628.61 KB),EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,2025_EICCL_110988_1,SE R AND B KPT 18/24-25,Providing Durashine Sheet Roofing to the roof slab of Sub Judge Court Building for the year 24-25,1.0,2850444.0,BISHNUPRIYA NAYAK,INR,"1,236,496",Finance,02nos of tenderers documents opened,Shubhakanta Barik,22-Apr-2025 06:40 PM,finance_531014.pdf,BOQ Comparative Chart,16-Jun-2025,"INR 1,236,496",30.0,Satya Narayan Khura,16-Jun-2025 01:47 PM,DURASHINE.pdf (1124.00 KB),AWARD OF CONTRACT,1,2850444,BISHNUPRIYA NAYAK,11-Mar-2025 01:37 PM,Accepted-AOC,Selected through a transparent lottery system,16-Jun-2025 01:47 PM,Superintending Engineer,Internal,"JE ESTIMATORAE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Shubhakanta Barik,22-Apr-2025 06:41 PM,techsummary_531014.pdf (628.61 KB),AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2843790,SUJATA PATNAIK,03-Mar-2025 08:21 PM,Rejected-AOC,Not selected through the lottery system.,16-Jun-2025 01:47 PM,,,,,,,AOC
