Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_109747_1,KIDN-05/2024-25,Improvement of Eco-tourism on the D/s toe area of Kanjhari Irrigation Project Under DRIP-II,1.0,2799879.0,LALATENDU NAYAK,INR,"5,929,847.97","Babulal Behera, ACE",Internal,"L.Marandi, B.Singh",BISWADEEP SINGH,11-Mar-2025 11:02 PM,12-Mar-2025 11:00 AM,techsummary_526999.pdf (489.67 KB),25-Apr-2025,"INR 5,929,847.97",180.0,BISWADEEP SINGH,03-Jun-2025 01:34 PM,AOC.pdf (507.00 KB),"Babulal Behera, ACE",Internal,"L.Marandi, B.Singh",BISWADEEP SINGH,13-Mar-2025 11:32 PM,finsummary_526999.pdf (489.67 KB),Finance,Financial Bid is opened and admitted for financial evaluation.,BISWADEEP SINGH,12-Mar-2025 12:48 PM,,BOQ Comparative Chart,1.0,2799879.0,LALATENDU NAYAK,05-Feb-2025 10:03 PM,Accepted-AOC,Responsive,03-Jun-2025 01:34 PM,Technical,"Only one bidder has participated. Technical bid is opened, downloaded the douments and admitted technical evaluation.",BISWADEEP SINGH,07-Feb-2025 11:58 AM,,AOC,"60,954",No,fixed,,Nil,Nil,23-Jan-2025 11:30 AM,07-Feb-2025 11:30 AM,23-Jan-2025 11:30 AM,06-Feb-2025 05:00 PM,23-Jan-2025 11:30 AM ,27-Jan-2025 05:00 PM ,23-Jan-2025 11:30 AM,06-Feb-2025 05:00 PM,12-Mar-2025 11:00 AM,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,KIDN-05/2024-25,2025_KIDK_109747_1,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,"10,000",Nil,Nil,No,"EE, Keonjhar Irrigation Division","EE, Keonjhar Irrigation Division,Kashipur,Keonjhar-758001",1,ICICI BANK,Improvement of Eco-tourism on the D/s toe area of Kanjhari Irrigation Project Under DRIP-II,Building works,Please refer Tender documents. ,NA ,"60,95,413",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kanjhari Dam Site,758014.0,NA ,NA ,NA ,"O/o the EE, Keonjhar Irrigation Division",No ,No,1,Fee/PreQual/Technical,.pdf,"Online proof copy of paper cost, Bid security, Pan,GST, RC, affidavit, machineries, work experience",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bills of Quantity,AOC
