S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,08-Nov-2024 06:00 PM,22-Nov-2024 05:00 PM,08-Nov-2024 06:00 PM,22-Nov-2024 03:00 PM,08-Nov-2024 06:00 PM ,22-Nov-2024 03:00 PM ,08-Nov-2024 06:00 PM,22-Nov-2024 03:00 PM,17-Feb-2025 06:00 PM,"53,174",Yes,percentage,1.0%,Nil,Nil,"Construction of Paddy Procurement Centre at Areikana Pacs, Dharmasala in the District of Jajpur.","Construction of Paddy Procurement Centre at Areikana Pacs, Dharmasala in the District of Jajpur.",Please refer tender Documents  ,NA ,"53,17,435",Civil Works - Buildings,NA ,Tender,90.0,120.0,"SE, Pkl (RandB) Division",755043.0,NA ,NA ,NA ,"SE, Pkl (RandB) Division",No ,No,"SE, Pkl (Rand) Division","SE, Pkl (RandB) Division",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-PANIKOILI,"Tender Call Notice No. SE, PKL (RandB)- 10/2024-25",2024_EICCL_106616_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, GSTIN, PAN, Affidavit,online Paper cost, EMD, Machineries and others Documents as per DTCN","10,000",0.0,Nil,Nil,No,AOC,Technical,All bidders are admitted,Purna Chandra Dalai,26-Nov-2024 07:07 PM,,Superintending Engineer,Internal,"SE, DAO and Estimator",Komal Kumar Swain,30-Jun-2025 05:37 PM,finsummary_515069.pdf (32.94 KB),Finance,All bidders are admitted,Subash Chandra Tarai,20-Feb-2025 05:25 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,"SE, DAO and Estimator",Subash Chandra Tarai,17-Feb-2025 05:56 PM,17-Feb-2025 06:00 PM,techsummary_515069.pdf (32.50 KB),30-Jun-2025,"INR 4,520,351.54",120.0,Komal Kumar Swain,30-Jun-2025 05:57 PM,35P1.pdf (3607.00 KB),AOC to be submitted,1.0,2641194.0,BISWAJIT BISWAL,INR,"4,520,351.54",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-PANIKOILI,2024_EICCL_106616_11,"Tender Call Notice No. SE, PKL (RandB)- 10/2024-25","Construction of Paddy Procurement Centre at Areikana Pacs, Dharmasala in the District of Jajpur.",1,2659510,BINAYAK SAMAL,22-Nov-2024 02:25 PM,Rejected-Finance,Disqualified due to quoted of High Rate,30-Jun-2025 05:37 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2656741.0,CHOUDHURI BIKASH CHANDRA DAS,INR,"4,520,351.54",,,,,2,2641194,BISWAJIT BISWAL,12-Nov-2024 11:30 AM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2658400.0,TAPAS RANJAN SAHOO,INR,"4,520,351.54",,,,,3,2656741,CHOUDHURI BIKASH CHANDRA DAS,20-Nov-2024 07:29 PM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2658831.0,RAMACHANDRA NAYAK,INR,"4,520,351.54",,,,,4,2659554,JAJATI KESHARI RAY,22-Nov-2024 02:55 PM,Rejected-Finance,Disqualified due to quoted of High Rate,30-Jun-2025 05:37 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2658939.0,NITISH MOHANTY,INR,"4,520,351.54",,,,,5,2658939,NITISH MOHANTY,22-Nov-2024 09:09 AM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2658969.0,RAHUL DEV NAYAK,INR,"4,520,351.54",,,,,6,2659412,PRATAP SETHI,22-Nov-2024 01:53 PM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2659080.0,RAJESH KUMAR SAHU,INR,"4,520,351.54",,,,,7,2658969,RAHUL DEV NAYAK,22-Nov-2024 02:35 PM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2659412.0,PRATAP SETHI,INR,"4,520,351.54",,,,,8,2659080,RAJESH KUMAR SAHU,22-Nov-2024 11:20 AM,Accepted-AOC,Unsuccessful bidder and participated in transparent lottery system,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2658831,RAMACHANDRA NAYAK,21-Nov-2024 09:57 PM,Accepted-AOC,Qualified and found successful L1 bidder through transparent lottery system and Agreement Drawn,30-Jun-2025 05:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2659205,RAMAN RANJAN DAS,22-Nov-2024 12:34 PM,Rejected-Technical,Disqualified machineries criteria,17-Feb-2025 05:56 PM,AOC
