Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Chief Engineer, Buildings-I (I/C), Odisha, BBSR","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.",1.0,ICICI BANK,Construction of CHC Building at K.Nugaon in District of Kandhamal.,Construction of CHC Building at K.Nugaon in District of Kandhamal.,Please refer Tender documents. ,NA ,"14,59,62,396",Civil Works - Buildings,NA ,Tender,90.0,547.0,KANDHAMAL DIST.,762102.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,EIC-CIVIL,C.E. (B) - 22 / 2024-25,2024_EICCL_107933_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"14,60,000",Yes,fixed,,Nil,Nil,05-Dec-2024 02:00 PM,20-Dec-2024 11:30 AM,05-Dec-2024 02:00 PM,19-Dec-2024 05:00 PM,NA ,NA ,05-Dec-2024 02:00 PM,19-Dec-2024 05:00 PM,10-Feb-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.","10,000",0.0,Nil,Nil,No,AOC,1,2700369,A P CONSTRUCTIOn,19-Dec-2024 02:53 PM,Rejected-Technical,Disqualified,06-Feb-2025 06:14 PM,04-Jun-2025,"INR 129,614,608",547.0,Priyabrata Samantara,04-Jun-2025 05:29 PM,AOC_K.Nuagaon.pdf (3819.00 KB),AOC,Finance,Opening,Smita Sahoo,10-Feb-2025 04:26 PM,,BOQ Comparative Chart,Er P C Mohapatra EIC (Civil-cum-Roads) Odisha,Internal,Er A K Giri CE Buildings I IC Odisha Er B K Nayak Addl CE Buildings I Odisha Smt P Samal FA,Bijaya Kumar Nayak,06-Feb-2025 06:14 PM,10-Feb-2025 04:00 PM,techsummary_519447.pdf (1974.81 KB),"Sri V V Yadav Principal Secretary to Govt Works Dept, Odisha",Internal,Sri P C Mohapatra EIC Civil cum Roads Odisha Sri A K Giri CE Buildings I Ic Odisha Sri S Dhal FA cum Special Secretary to Govt Works Dept Odisha,Bijaya Kumar Nayak,08-May-2025 11:29 AM,finsummary_519447.pdf (393.40 KB),Technical,11 Nos. Bidders Received,Bijaya Kumar Nayak,20-Dec-2024 01:09 PM,,EIC-CIVIL,2024_EICCL_107933_3,C.E. (B) - 22 / 2024-25,Construction of CHC Building at K.Nugaon in District of Kandhamal.,1.0,2701347.0,MANORANJAN SWAIN,INR,"129,614,608",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC,2,2698611,B. M. ENGINEERING AND CONSTRUCTION,19-Dec-2024 02:19 PM,Rejected-Finance,L3,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2702462,D. K. Engineering and Construction,19-Dec-2024 03:08 PM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2701347,MANORANJAN SWAIN,19-Dec-2024 03:56 PM,Accepted-AOC,L1,04-Jun-2025 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2703145,M/S BRILLIANT DEVELOPERS,19-Dec-2024 03:46 PM,Rejected-Technical,Disqualified,06-Feb-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2702089,PRASANTA KUMAR PATTNAIK,18-Dec-2024 07:26 PM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2700745,Sarika Civcon Pvt Ltd,18-Dec-2024 10:55 PM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2703751,SUBRAT MOHAPATRA,19-Dec-2024 04:44 PM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2695829,SUSHREESARADA CONSTRUCTION PRIVATE LIMITED,14-Dec-2024 12:58 PM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2691643,SUSHRITA MISHRA,17-Dec-2024 10:46 AM,Rejected-Finance,L2,08-May-2025 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
