Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTN,Tender Cost,EMD,Affidavit and Other Documents as per DTCN","2,000",0.0,Nil,Nil,No,26-Nov-2024 05:45 PM,05-Dec-2024 11:30 AM,26-Nov-2024 05:45 PM,04-Dec-2024 05:00 PM,26-Nov-2024 05:45 PM ,03-Dec-2024 05:00 PM ,26-Nov-2024 05:45 PM,04-Dec-2024 05:00 PM,S/R to S.I Quarter at Binjharpur Police Station for the year 2024-25. in the District of Jajpur.,S/R to S.I Quarter at Binjharpur Police Station for the year 2024-25. in the District of Jajpur.,Please refer Tender documents. ,NA ,"2,52,085",Civil Works - Buildings,NA ,Tender,90.0,30.0,JAJPUR,755007.0,NA ,NA ,NA ,"RURAL WORKS DIVISION,JAJPUR",No ,No,"3,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"SUPERINTENDING ENGINEER, R.W.DIVISION,JAJPUR","RURAL WORKS DIVISION,JAJPUR",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAJPUR,Tender Online 05 JJPT OF 2024-25,2024_CERWI_107552_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EXECUTIVE ENGINEER,Internal,"DAO, ESTIMATOR",Gyanaranjan Nayak,04-Jun-2025 09:43 AM,techsummary_517915.pdf (358.73 KB),EXECUTIVE ENGINEER,Internal,"DAO,ESTIMATOR",Gyanaranjan Nayak,18-Jun-2025 11:46 AM,finsummary_517915.pdf (358.73 KB),Finance,19 Nos Bidders Participated,Gyanaranjan Nayak,05-Dec-2024 06:50 PM,,BOQ Comparative Chart,1.0,2678175.0,Capital Bawarchi Prop-Suvendra Kumar Samal,INR,"214,297.8",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAJPUR,2024_CERWI_107552_17,Tender Online 05 JJPT OF 2024-25,S/R to S.I Quarter at Binjharpur Police Station for the year 2024-25. in the District of Jajpur.,1,2680449,AKASH MALIK,04-Dec-2024 12:32 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,18-Jun-2025,"INR 214,297.8",30.0,Gyanaranjan Nayak,18-Jun-2025 11:56 AM,05.pdf (359.00 KB),AWARD OF CONTRACT,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2679731,BIJENDRA BISWAL,03-Dec-2024 09:06 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2679680,BIKASH SAHOO,03-Dec-2024 08:42 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2678175,Capital Bawarchi Prop-Suvendra Kumar Samal,03-Dec-2024 12:05 PM,Accepted-AOC,Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2674263,CHIITA RANJAN NAYAK,02-Dec-2024 01:11 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2675796,DAYANIDHI DAS,03-Dec-2024 11:18 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2679765,JITENDRA KUMAR BISWAL,03-Dec-2024 09:23 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2680297,KAMALAKANTA JENA,04-Dec-2024 10:18 AM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2679999,LAXMIDHAR SAHOO,03-Dec-2024 10:24 PM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2675410,M/S BARADA PRASAD SAMAL,04-Dec-2024 11:47 AM,Rejected-AOC,Not Qualify,18-Jun-2025 11:56 AM,,,,,,,,AOC
