Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,ok,Victor Soreng,30-May-2025 12:46 PM,finance_532779.pdf,BOQ Comparative Chart,1.0,2866999.0,REKHA DAS,INR,"500,000",Municipal Bodies||Rajgangpur Municipality,2025_ORULB_111470_17,EO/RGP/02 of 2025-26,Construction of Paver Bolck road from Santosh Yadav House towards Sunil Singh House in Ward No.05,1,2865309,AMARENDRA BISWAL,23-Mar-2025 01:29 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,11-Jun-2025,"INR 500,000",90.0,Hajam Tudu,11-Jun-2025 09:32 AM,1725.pdf (410.00 KB),Madhuri Lugun,Internal,,Victor Soreng,30-May-2025 12:51 PM,techsummary_532779.pdf (961.42 KB),Madhuri Lugun,Internal,,Hajam Tudu,11-Jun-2025 09:27 AM,finsummary_532779.pdf (962.70 KB),AOC,Municipal Bodies||Rajgangpur Municipality,EO/RGP/02 of 2025-26,2025_ORULB_111470_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,11-Mar-2025 10:00 AM,25-Mar-2025 11:00 AM,11-Mar-2025 10:00 AM,24-Mar-2025 05:00 PM,NA ,NA ,11-Mar-2025 10:00 AM,24-Mar-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GST, PAN, Reg.-Renewal of Contractor license, Exp. and other document as per NIT.","4,000",0.0,Nil,Nil,No,Construction of Paver Bolck road from Santosh Yadav House towards Sunil Singh House in Ward No.05,Construction of Paver Bolck road from Santosh Yadav House towards Sunil Singh House in Ward No.05,Please refer Tender documents ,NA ,"5,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality,No ,No,1.0,ICICI BANK,Executive Officer,"Rajgangpur Municipality, Dist-Sundargarh","5,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2864020,BHARAT TANTY,21-Mar-2025 06:48 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2863224,CLEMENT KERKETTA,20-Mar-2025 09:38 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2865451,GIRIJA PRASAD SAMAL,23-Mar-2025 05:12 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2865311,Karttik Sing,23-Mar-2025 01:31 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2863111,KIRAN KUMAR BADAIK,20-Mar-2025 07:46 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2865929,MANIK CHARAN NAYAK,24-Mar-2025 12:39 AM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2864782,PRATAP KERKETTA,22-Mar-2025 05:18 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2864599,PRATAP KUMAR MUDULI,22-Mar-2025 02:06 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2863916,PRINS BHALOTIA,21-Mar-2025 05:26 PM,Rejected-AOC,Rejected,11-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
