Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,2025_ORULB_113631_16,BPM/02/2025-26,Construction of Paver road and drain from Narayan kata house to Dropad sahu house in Ward No.12,1.0,2941833.0,SUSHANTA KUMAR SAHU,INR,"711,778.91",1,2931688,AKASH AGRAWAL,28-May-2025 01:44 PM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,30-Jun-2025,"INR 711,778.91",30.0,Pratik Rath,30-Jun-2025 09:21 PM,46Proceeding.pdf (1957.00 KB),Finance,accepted,BANAMALI MEHER,31-May-2025 07:45 AM,,BOQ Comparative Chart,Chairperson,Mixed,,Pratik Rath,30-Jun-2025 09:18 PM,finsummary_540287.pdf (1957.09 KB),Chairperson,Internal,,Pratik Rath,26-Jun-2025 08:35 AM,techsummary_540287.pdf (1957.08 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",Municipal Bodies||Bhawanipatna Municipality,BPM/02/2025-26,2025_ORULB_113631_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of Paver road and drain from Narayan kata house to Dropad sahu house in Ward No.12,Construction of Paver road and drain from Narayan kata house to Dropad sahu house in Ward No.12,Please refer Tender documents. ,NA ,"8,37,288",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,21-May-2025 02:00 PM,30-May-2025 05:00 PM,21-May-2025 02:00 PM,30-May-2025 04:00 PM,NA ,NA ,21-May-2025 02:00 PM,30-May-2025 04:00 PM,"8,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,2934955,BUKHARI FAKIR KHAN,30-May-2025 01:14 AM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2941175,MOHAN SUBUDHI,30-May-2025 04:48 AM,Rejected-AOC,L2,30-Jun-2025 09:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2941228,Priyabrata Patra,30-May-2025 06:14 AM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2941833,SUSHANTA KUMAR SAHU,30-May-2025 04:45 AM,Accepted-AOC,AWARDED,30-Jun-2025 09:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2937470,TRINATH HARPAL,29-May-2025 11:42 AM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2937038,UDAYANATH CHHATRIA,29-May-2025 01:18 PM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2941723,YEHLLA MADHAVA RAO,30-May-2025 03:48 AM,Rejected-Finance,L3,30-Jun-2025 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
