Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Superintending Engineer,"Superintending Engineer, P.H. Division, Balangir",1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration certificate, Experience certificate, etc",1.0,ICICI BANK,10-Dec-2024 12:30 PM,27-Dec-2024 11:00 AM,10-Dec-2024 12:30 PM,26-Dec-2024 05:00 PM,10-Dec-2024 12:30 PM ,23-Dec-2024 05:00 PM ,10-Dec-2024 12:30 PM,26-Dec-2024 05:00 PM,21-Mar-2025 11:00 AM,Construction of ESR at WTP site Subarnapur in connection with the work Augmentation of water supply system along with ancillary works for Subarnapur town.,Construction of ESR at WTP site Subarnapur in connection with the work Augmentation of water supply system along with ancillary works for Subarnapur town.,Please refer DTCN ,NA ,"5,23,16,752",Civil Works - Water Works,NA ,Tender,120.0,360.0,Subarnapur Municipality,767017.0,NA ,NA ,NA ,"Superintending Engineer, P.H. Division, Balangir",No ,No,PHEO||PH Circle Bhawanipatna||PH Division Balangir,SEPHBGR 26/2024-25,2024_PHEO_108109_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"5,23,168",Yes,percentage,1.0%,Nil,Nil,AOC,Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts officer, EE Estimator",Indrajit Sahu,18-Mar-2025 11:35 AM,21-Mar-2025 11:00 AM,techsummary_520035.pdf (48.06 KB),PHEO||PH Circle Bhawanipatna||PH Division Balangir,2024_PHEO_108109_1,SEPHBGR 26/2024-25,Construction of ESR at WTP site Subarnapur in connection with the work Augmentation of water supply system along with ancillary works for Subarnapur town.,1.0,2710218.0,GOYAL CONSTRUCTIONS AND LAND SCAPPERS,INR,"44,474,470.83",Finance,Bid has opened,Indrajit Sahu,21-Mar-2025 11:50 AM,finance_520035.pdf,BOQ Comparative Chart,Technical,Opening summary,Indrajit Sahu,27-Dec-2024 01:13 PM,technical_520035.pdf,1,2712527,ADITYA ENGINEERING SERVICES,26-Dec-2024 04:51 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,Superitendng Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, EE Estimator",Indrajit Sahu,18-Jun-2025 12:18 PM,finsummary_520035.pdf (1407.79 KB),18-Jun-2025,"INR 52,316,751.95",360.0,Indrajit Sahu,18-Jun-2025 12:29 PM,wo.pdf (955.00 KB),L1 Bidder has responded,AOC
,,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2705740,Baikuntha Meher,24-Dec-2024 05:42 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2710218,GOYAL CONSTRUCTIONS AND LAND SCAPPERS,25-Dec-2024 02:03 PM,Accepted-AOC,Awarded as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2695867,Haresh Kumar Agrawal,26-Dec-2024 02:28 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2707434,JAJATI KESHARI MEHER,23-Dec-2024 05:55 PM,Rejected-Technical,Work experience submitted by the Agency does not meet the required criteria as per clause of the DTCN,18-Mar-2025 11:35 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2707237,Jayadev Panda,25-Dec-2024 07:47 PM,Rejected-Technical,Work experience submitted by the Agency does not meet the required criteria as per clause of the DTCN,18-Mar-2025 11:35 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2707718,KUBER CONSTRUCTION CO,26-Dec-2024 04:16 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2710645,MITTAL INFRAPROJECTS,25-Dec-2024 12:16 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2711767,M/S SABITA ENTERPRISES,26-Dec-2024 04:22 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2706007,"prasanta kumar sahu, prop-of nilamadhaba construction",21-Dec-2024 03:10 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2710615,SUSANTA KUMAR NAYAK,25-Dec-2024 01:35 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2706355,SUVENDU DAS,21-Dec-2024 07:37 PM,Rejected-AOC,Rejected as per OPWD code,18-Jun-2025 12:29 PM,,,,,,,,,,,,,,AOC
