S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2219595.0,Mohan Behera,INR,"821,351",Finance,All bids admitted,Bulu Sethy,05-Sep-2023 05:07 PM,finance_449800.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,13-Jun-2025 07:35 PM,finsummary_449800.pdf (521.78 KB),Municipal Bodies||Rayagada Municipality,2023_ORULB_92554_27,RGDA-MUN-06/2023-24,Construction of paver block road at Kodaliguda 3rd lane in w.no-23,"Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,13-Jun-2025 07:31 PM,techsummary_449800.pdf (521.78 KB),24-Jun-2025,"INR 840,687.741",30.0,Bulu Sethy,24-Jun-2025 01:19 PM,27.pdf (1094.00 KB),1,2219689,KARNI SAPNA,27-Aug-2023 04:57 PM,Rejected-Finance,Not qualified,13-Jun-2025 07:35 PM,AOC,18-Aug-2023 04:00 PM,29-Aug-2023 11:30 AM,18-Aug-2023 04:00 PM,28-Aug-2023 05:30 PM,18-Aug-2023 04:00 PM ,27-Aug-2023 05:30 PM ,18-Aug-2023 04:00 PM,28-Aug-2023 05:30 PM,Municipal Bodies||Rayagada Municipality,RGDA-MUN-06/2023-24,2023_ORULB_92554_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of paver block road at Kodaliguda 3rd lane in w.no-23,Construction of paver block road at Kodaliguda 3rd lane in w.no-23,Please refer Tender documents. ,NA ,"8,40,687",Civil Works - Roads,NA ,Tender,90.0,20.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipalitya,No ,No,"8,500",Yes,fixed,,Nil,Nil,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality","4,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"CDMS License,PAN,GSTIN,Caste Certificate,Affidavit,Bank A/C etc and others as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2219595,Mohan Behera,27-Aug-2023 03:57 PM,Accepted-AOC,Qualified,24-Jun-2025 01:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC
