Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,17 bids opened successfully,Lipsa Parida,21-May-2025 04:26 PM,finance_536910.pdf,BOQ Comparative Chart,City engineer,Internal,"EETENDERCELL,EEDRAINAGE,ADDCOMMISSIONER(LEGAL)BMC,CFO,CITYENGINEER",Lipsa Parida,21-May-2025 01:27 PM,21-May-2025 03:00 PM,techsummary_536910.pdf (326.01 KB),1,2903161,ABHILASH BHATTA,01-May-2025 01:55 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,23-Jun-2025,"INR 9,357,394",180.0,Priyabrata Behera,23-Jun-2025 10:56 AM,workorder_68_25.pdf (1535.00 KB),1.0,2903508.0,SAROJ KUMAR NAYAK,INR,"9,357,394",CITY ENGINEER,Internal,"CITY ENGINEER ,EE DRAINAGE,EE TENDERCELL,CFO,ZC(LEGAL)",Priyabrata Behera,21-Jun-2025 01:41 PM,finsummary_536910.pdf (225.69 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_112568_5,BMC-EE-Tender Cell-06/2025-26 dt. 11.04.2025,Desilting of storm water R and B Division-III drains in BMC Area for ensuring Monsoon 2025-26,Technical,18 bids opened successfully,Lipsa Parida,02-May-2025 05:56 PM,technical_536910.pdf,AOC,"10,000",0.0,Nil,Nil,No,1.0,Specification for Tools and equipment,Other,,1.0,ICICI BANK,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-06/2025-26 dt. 11.04.2025,2025_ORULB_112568_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,17-Apr-2025 03:00 PM,02-May-2025 03:30 PM,17-Apr-2025 03:00 PM,02-May-2025 03:00 PM,17-Apr-2025 03:00 PM ,21-Apr-2025 04:30 PM ,17-Apr-2025 03:00 PM,02-May-2025 03:00 PM,21-May-2025 03:00 PM,Desilting of storm water R and B Division-III drains in BMC Area for ensuring Monsoon 2025-26,Desilting of storm water R and B Division-III drains in BMC Area for ensuring Monsoon 2025-26,Please refer Tender documents. ,NA ,"93,28,309",Civil Works - Others,NA ,Tender,120.0,180.0,BMC Area,751022.0,Office chamber of EE (Central Tender Cell) ,"UG Floor,Central Tender Cell,ICOMC Tower, BMC ",22-Apr-2025 12:30 PM ,"Central Tender Cell, BMC",No ,No,"93,300",Yes,fixed,,Nil,Nil,"Executive Engineer, Central Tender Cell,BMC","UG Floor,Central Tender Cell,ICOMC Tower, BMC",1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all the documents,AOC
,,,,,,,,,,,,,2,2903674,ABHISHEK KARTIK RAY,02-May-2025 11:54 AM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,3,2903295,AMBUJA BHUSAN SETHY,01-May-2025 03:38 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2902682,AMIN BARISAL,30-Apr-2025 07:15 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2893339,AQUA SERVICES,30-Apr-2025 07:34 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2900241,BALADEVJEW CONSTRUCTIONS PRIVATE LIMITED,29-Apr-2025 02:03 PM,Rejected-Technical,Technically disqualified,21-May-2025 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2903836,BHABANI SANKAR MALLIA,02-May-2025 02:42 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2903367,M/S OMM SAI ASSOCIATES,01-May-2025 04:37 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2894002,M/S SATYAM AGENCY (PROPRIETOR) SMT. ROJALINI RATH,01-May-2025 11:47 AM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2903272,Nabaghana Parida,01-May-2025 03:01 PM,Rejected-Finance,other than 1st lottery winner,21-Jun-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
