Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
PK HARIPAL,Internal,K BEHERA Sr. DAO S PARIDA JE ESTIMATOR,Pratap Kumar Haripal,11-Jun-2025 11:50 AM,techsummary_531327.pdf (385.56 KB),1,2845015,M/S GOUTAM MAJHI,06-Mar-2025 12:43 PM,Rejected-AOC,Lottery looser,11-Jun-2025 11:56 AM,11-Jun-2025,"INR 916,223",60.0,Pratap Kumar Haripal,11-Jun-2025 11:56 AM,WO.pdf (120.00 KB),Agreement No. 49 P1 of 2025-26 (Contract value excluding GST) Date of Commencement- 23.04.2025 Date of Completion- 22.06.2025,Finance,The validity of the tender is subject to the result of detail scrutiny of documents submitted by the bidder online.,Kapilendra Behera,25-May-2025 11:45 AM,finance_531327.pdf,BOQ Comparative Chart,1.0,2843093.0,Pinaki Mishra,INR,"916,223",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,2025_EICCL_111084_3,SE (R and B) Angul-45/ 2024-25,"Construction of 3ph 3w 11kv, 3p5w LT line and Sub station due to widening and strengthening of Angul Chhendipada Road (SH-63) at Kankurapal in the district of Angul for the year 2024-25.",PK HARIPAL,Internal,K BEHERA Sr. DAO S PARIDA JE ESTIMATOR,Pratap Kumar Haripal,11-Jun-2025 11:53 AM,finsummary_531327.pdf (502.14 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid Cost and EMD online, GSTIN, PAN, RC, Affidavit, and Other documents as per DTCN.",Superintending Engineer Angul R and B Division,O/O the Superintending Engineer Angul RB Division,24-Feb-2025 12:30 PM,07-Mar-2025 11:00 AM,24-Feb-2025 12:30 PM,06-Mar-2025 05:00 PM,NA ,NA ,24-Feb-2025 12:30 PM,06-Mar-2025 05:00 PM,"10,800",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,SE (R and B) Angul-45/ 2024-25,2025_EICCL_111084_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of 3ph 3w 11kv, 3p5w LT line and Sub station due to widening and strengthening of Angul Chhendipada Road (SH-63) at Kankurapal in the district of Angul for the year 2024-25.","Construction of 3ph 3w 11kv, 3p5w LT line and Sub station due to widening and strengthening of Angul Chhendipada Road (SH-63) at Kankurapal in the district of Angul for the year 2024-25.",Please refer Tender documents. ,NA ,"10,77,783",Electrical Works,NA ,Tender,90.0,60.0,ANGUL,759122.0,NA ,NA ,NA ,O/O the Superintending Engineer Angul RB Division,No ,No,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,2,2843093,Pinaki Mishra,03-Mar-2025 11:28 AM,Accepted-AOC,Lottery winner,11-Jun-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,AOC
