S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,2701398.0,R.B.S Constructions,INR,"123,111,612","The Commissioner-cum-Secretary to Government, WD",Internal,"The CE, BRIDGES, Odisha, FA-cum-Special Secretary to Government, WD",Durga Charan Behera,11-Apr-2025 05:46 PM,finsummary_518977.pdf (2013.82 KB),EIC-CIVIL||EIC-CIVIL,2024_EICCL_107732_2,CE-BRIDGES-09/2024-25,Construction of H. L. Bridge over Chanagudi Nallah at 19.150km of Kaintragarh Doruha road in the District of Angul for the year 2024-25,Technical,Seven bidders participated in this tender,Mamatamayee Pradhan,19-Dec-2024 03:53 PM,,Finance,Price Bid Opened,Mamatamayee Pradhan,03-Feb-2025 01:18 PM,,BOQ Comparative Chart,"Er.Purna Chandra Mohapatra, EIC (Civil), Odisha",Internal,"Er. D. C. Behera, CE, Bridges, Odisha, Er. S. Nayak, ACE, NABARD, Sri M. K. Sharma, DAO",Durga Charan Behera,30-Jan-2025 07:23 PM,03-Feb-2025 11:30 AM,techsummary_518977.pdf (9460.60 KB),04-Jun-2025,"INR 123,111,612",730.0,Mamatamayee Pradhan,04-Jun-2025 02:14 PM,AOC_CHANAGUDI.pdf (2054.00 KB),"Agreement No.05 P1 of 2025-26 of SE, Angul R and B Division, Angul",1,2699021,AMULYA KUMAR DASH,18-Dec-2024 12:29 PM,Rejected-Technical,Disqualified,30-Jan-2025 07:23 PM,AOC,"Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswar",03-Dec-2024 10:00 AM,19-Dec-2024 11:30 AM,03-Dec-2024 10:00 AM,18-Dec-2024 05:00 PM,03-Dec-2024 10:00 AM ,18-Dec-2024 05:00 PM ,03-Dec-2024 10:00 AM,18-Dec-2024 05:00 PM,03-Feb-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit","13,23,100",Yes,fixed,,Nil,Nil,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-09/2024-25,2024_EICCL_107732_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Construction of H. L. Bridge over Chanagudi Nallah at 19.150km of Kaintragarh Doruha road in the District of Angul for the year 2024-25,Construction of H. L. Bridge over Chanagudi Nallah at 19.150km of Kaintragarh Doruha road in the District of Angul for the year 2024-25,Please refer Tender documents. ,NA ,"13,23,06,945",Civil Works - Bridges,NA ,Tender,90.0,730.0,In the District of Angul,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2702188,ASHOK KUMAR MEHER,18-Dec-2024 01:23 PM,Rejected-AOC,2nd lowest bidder,04-Jun-2025 02:15 PM,AOC,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2702522,DAMODAR PATTNAIK,18-Dec-2024 04:43 PM,Rejected-Finance,4th lowest bidder,11-Apr-2025 05:46 PM,AOC,,,,,,,,,,,,,,.pdf,Other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2699575,MONALISHA CONSTRUCTION,16-Dec-2024 09:23 PM,Rejected-Technical,Disqualified,30-Jan-2025 07:23 PM,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2702231,MOTIRANJAN SAHOO,18-Dec-2024 01:37 PM,Rejected-Finance,3rd lowest bidder,11-Apr-2025 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2702077,Paban Kumar Agrawal,18-Dec-2024 01:37 PM,Rejected-Finance,5th lowest bidder,11-Apr-2025 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2701398,R.B.S Constructions,18-Dec-2024 02:05 PM,Accepted-AOC,1st lowest bidder,04-Jun-2025 02:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
