Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Finance,Boq,RASHMITA NATH,04-Jun-2025 10:09 AM,finance_523945.pdf,BOQ Comparative Chart,1.0,2770364.0,ANIKET SAMANTARAY,INR,"704,841",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||JATNI Block,2025_PRJAT_109092_1,23/PS/2024-25,Const. of CC Road from RD road to Indira Parida house and electrification thereat,BDO,Internal,"BDO,AEE,SO,AO,CP,JE",RASHMITA NATH,04-Jun-2025 10:29 AM,finsummary_523945.pdf (1058.86 KB),BDO,Internal,"BDO,AEE,SO,AO,JE,CP",RASHMITA NATH,04-Jun-2025 10:11 AM,techsummary_523945.pdf (1058.86 KB),1,2770364,ANIKET SAMANTARAY,22-Jan-2025 12:13 PM,Accepted-AOC,L1,04-Jun-2025 10:34 AM,04-Jun-2025,"INR 704,841",90.0,RASHMITA NATH,04-Jun-2025 10:34 AM,BoqIndiraParida.pdf (1059.00 KB),AOC,AOC,"4,000",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||JATNI Block,23/PS/2024-25,2025_PRJAT_109092_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,291",Yes,percentage,1.0%,Nil,Nil,08-Jan-2025 11:00 AM,24-Jan-2025 11:00 AM,08-Jan-2025 11:00 AM,22-Jan-2025 05:00 PM,08-Jan-2025 11:00 AM ,18-Jan-2025 05:00 PM ,08-Jan-2025 11:00 AM,22-Jan-2025 05:00 PM,BDO JATNI,PANCHAYAT SAMITI JATNI,Const. of CC Road from RD road to Indira Parida house and electrification thereat,AS PER DTCN,Please refer Tender documents. ,NA ,"8,29,126",Civil Works - Roads,NA ,Tender,120.0,90.0,JANLA,752054.0,NA ,NA ,NA ,PANCHAYAT SAMITI JATNI,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2768832,BISWAJIT SAMANTARAY,21-Jan-2025 02:21 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2757553,GOURANGA BALIARSINGH,17-Jan-2025 07:33 AM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2763601,KALPANA SAMANTARAY,18-Jan-2025 04:35 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2770896,Maa Barunei Construction And Supplier Prop-Biswa Mohan Parida,22-Jan-2025 02:28 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2770574,PRAMOD KUMAR RANSINGH,22-Jan-2025 01:06 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2762277,RAKESH KUMAR CHHOTARAY,18-Jan-2025 12:03 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2769818,RANJAN NAIK,21-Jan-2025 10:54 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2767718,SIDDHESWAR BAGHASINGH,20-Jan-2025 10:57 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2745461,SRIKANTA PATRA,20-Jan-2025 08:46 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2769431,Surendra Behera,21-Jan-2025 06:51 PM,Rejected-AOC,L2,04-Jun-2025 10:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
