Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption","18,000",Yes,fixed,,Nil,Nil,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.18/ 2024-25,2025_CDJID_111739_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,18-Mar-2025 03:00 PM,02-Apr-2025 11:30 AM,18-Mar-2025 03:00 PM,29-Mar-2025 05:00 PM,18-Mar-2025 03:00 PM ,24-Mar-2025 05:00 PM ,18-Mar-2025 03:00 PM,29-Mar-2025 05:00 PM,JJPR-11/24-25 Restoration to Jajpur Main Canal for 2025-26.,Canal restoration work,Please refer Tender documents. ,NA ,"17,91,394",Civil Works - Canal,NA ,Tender,90.0,180.0,Binjharpur,755004.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,"6,000",Nil,Nil,No,AOC,26-Jun-2025,"INR 1,522,864.04",180.0,Ratnakar Dalai,26-Jun-2025 07:10 PM,18_11.pdf (284.00 KB),Contract Awarded,1,2873280,ABHIMANYU JENA,29-Mar-2025 02:34 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,26-Jun-2025 07:04 PM,techsummary_533550.pdf (284.23 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111739_3,e-Procurement Notice No.18/ 2024-25,JJPR-11/24-25 Restoration to Jajpur Main Canal for 2025-26.,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,26-Jun-2025 07:09 PM,finsummary_533550.pdf (284.23 KB),Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Antaryami Mohanty,03-Apr-2025 02:05 PM,finance_533550.pdf,BOQ Comparative Chart,1.0,2869827.0,SASHIKANTA NANDA,INR,"1,522,864.04",AOC
,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2872117,ABINASH BEHERA,28-Mar-2025 08:04 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2871071,ASHOK KUMAR MOHANTY,27-Mar-2025 06:53 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2870686,ASHOK SAHOO,28-Mar-2025 09:31 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2872432,BHABESH KUMAR NAYAK,28-Mar-2025 06:16 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2869936,BHARAT KUMAR SWAIN,26-Mar-2025 09:02 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2870253,BIJAYA KUMAR SAHOO,28-Mar-2025 06:47 AM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2870609,BIKASH SAHOO,28-Mar-2025 07:37 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2872742,BIPLABA KUMAR PANDA,29-Mar-2025 01:50 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2871843,DAMAYANTI ROUT,28-Mar-2025 12:32 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Jun-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
