Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,.,Dibyamayee Behera,02-Jun-2025 10:39 AM,finance_525923.pdf,BOQ Comparative Chart,1.0,2772842.0,PRADIP KUMAR SINGHA,INR,"588,718",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_109456_13,11Online)/RWD/BPD/2024-25,SR to PWD Road at Kostha to Jambhirapal road,1,2773967,ABHIRAM DAS,24-Jan-2025 04:26 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,06-Jun-2025,"INR 588,718",30.0,Rajesh Pradhan,09-Jun-2025 11:59 AM,11.pdf (330.00 KB),A.K.Nayak,Internal,,Dibyamayee Behera,04-Jun-2025 01:19 PM,techsummary_525923.pdf (52.56 KB),A.K.Nayak,Internal,,Dibyamayee Behera,04-Jun-2025 01:33 PM,finsummary_525923.pdf (52.56 KB),AOC,"4,000",0.0,Nil,Nil,No,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",SR to PWD Road at Kostha to Jambhirapal road,SR to PWD Road at Kostha to Jambhirapal road,Please refer Tender documents. ,NA ,"6,93,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"S.E.R.W.Division, Baripada",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Affidavit and other documents as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,11Online)/RWD/BPD/2024-25,2025_CERWI_109456_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Jan-2025 11:00 AM,24-Jan-2025 05:30 PM,17-Jan-2025 11:00 AM,24-Jan-2025 05:00 PM,17-Jan-2025 11:00 AM ,24-Jan-2025 03:00 PM ,17-Jan-2025 11:00 AM,24-Jan-2025 05:00 PM,"6,930",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2771898,AJAY KUMAR GIRI,22-Jan-2025 10:30 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2774457,AKSHAYA MOHANTA,24-Jan-2025 01:30 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2771838,MANAS RANJAN GIRI,22-Jan-2025 09:48 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2772538,MANORANJAN UPADHAYAYA,23-Jan-2025 03:28 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2771914,MIJALI GIRI,22-Jan-2025 10:46 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2767017,PRADEEP KUMAR MAHANTY,21-Jan-2025 08:58 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2772842,PRADIP KUMAR SINGHA,24-Jan-2025 10:32 AM,Accepted-AOC,Lottery winner,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2773744,PRAMOD KUMAR GIRI,24-Jan-2025 02:18 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2772664,PUSPALATA SAHU,23-Jan-2025 04:41 PM,Rejected-AOC,unsuccessful tenderer,09-Jun-2025 12:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
