Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Orissa Mining Corporation,2024_OMC_105228_1,OMC/E-PROC/CP/031/2024-25 Dated 26.09.2024,"Supply, Implementation and Support Services (for 4 years) of Extended Detection and Response (XDR) Solution for OMC Ltd.",Technical,Technical opening summary,Nandini Nibedita Pal,29-Oct-2024 01:30 PM,technical_507892.pdf,Director(HR),Internal,"CGM(Fin), GM(CP), Advisor(Legal), CGM(IT)",Diptimayee Subhadarshini Dash,18-Jun-2025 11:43 AM,finsummary_507892.pdf (673.88 KB),1.0,2593218.0,Infovision Solutions,INR,"10,620,000",18-Jun-2025,"INR 10,620,000",1490.0,Diptimayee Subhadarshini Dash,18-Jun-2025 03:15 PM,LOAAntivirus.pdf (1094.00 KB),Awarded for the work including GST for four years,Finance,Financial opening summary,Nandini Nibedita Pal,06-Feb-2025 03:18 PM,finance_507892.pdf,BOQ Comparative Chart,GM(Finance),Internal,"Sr.Manager(CP), Sr.Manager(CA)Legal, DGM(IT)",Nandini Nibedita Pal,04-Feb-2025 04:14 PM,05-Feb-2025 03:00 PM,techsummary_507892.pdf (495.20 KB),1,2594106,Advance Solution,28-Oct-2024 01:24 PM,Rejected-Finance,Other than L1,18-Jun-2025 11:43 AM,AOC,"5,900",0.0,Nil,Nil,Yes,1.0,CORRIGENDUM 1,Technical Bid,,"Supply, Implementation and Support Services (for 4 years) of Extended Detection and Response (XDR) Solution for OMC Ltd.","Supply, Implementation and Support Services (for 4 years) of Extended Detection and Response (XDR) Solution for OMC Ltd.",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,1490.0,"OMC Ltd., OMC House , Bhubaneswar",751001.0,Through VC ,Through VC ,09-Oct-2024 03:30 PM ,"OMC Ltd., OMC House , Bhubaneswar",No ,No,1.0,ICICI BANK,Head(Contract and Procurement),"OMC Ltd., OMC House , Bhubaneswar",30-Sep-2024 05:45 PM,28-Oct-2024 05:00 PM,30-Sep-2024 05:45 PM,28-Oct-2024 03:00 PM,30-Sep-2024 05:45 PM ,07-Oct-2024 05:00 PM ,19-Oct-2024 11:00 AM,28-Oct-2024 03:00 PM,05-Feb-2025 03:00 PM,Orissa Mining Corporation,OMC/E-PROC/CP/031/2024-25 Dated 26.09.2024,2024_OMC_105228_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN,GSTIN AND OTHER DOCUMENTS AS PER DTCN","45,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2593212,Embee Software pvt Ltd,28-Oct-2024 02:16 PM,Rejected-Finance,Other than L1,18-Jun-2025 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER DOCUMENTS AS PER DTCN,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2584678,Esquare System & Technologies Pvt. Ltd,28-Oct-2024 02:49 PM,Rejected-Finance,Other than L1,18-Jun-2025 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2594043,HARDIB TECHNOLOGY PRIVATE LIMITED,28-Oct-2024 02:44 PM,Rejected-Technical,Techno-commercially Disqualified,04-Feb-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,RATE OF GST,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2593218,Infovision Solutions,28-Oct-2024 01:07 PM,Accepted-AOC,Awarded for the work including GST for four years,18-Jun-2025 03:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2593116,Interlace India Private Limited,28-Oct-2024 02:56 PM,Rejected-Technical,Techno-commercially Disqualified,04-Feb-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2593233,Orbit Techsol India Private Limited,28-Oct-2024 02:26 PM,Rejected-Finance,Other than L1,18-Jun-2025 11:43 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
