Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"EXECUTIVE OFFICER, PURI MUNICIPALITY","VIP ROAD, PURI",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST, PAN, EPF Or Undertaking For EPF and Affidavit , any other as per DTCN","4,720",0.0,Nil,Nil,No,Construction Of Gym Room At Satabakhara Jaga Ward 02,CIVIL,Please refer Tender documents. ,NA ,"8,47,911",Civil Works - Others,NA ,Tender,120.0,90.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,"8,480",Yes,fixed,,Nil,Nil,1,ICICI BANK,Municipal Bodies||Puri Municipality,P.M. 02/24-25,2024_ORULB_108119_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Dec-2024 03:00 PM,27-Dec-2024 11:00 AM,13-Dec-2024 03:00 PM,26-Dec-2024 05:00 PM,NA ,NA ,13-Dec-2024 03:00 PM,26-Dec-2024 05:00 PM,AOC,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,24-Jun-2025 11:23 AM,techsummary_520166.pdf (3469.25 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,24-Jun-2025 11:27 AM,finsummary_520166.pdf (3469.25 KB),Finance,"02 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,30-Dec-2024 12:01 PM,finance_520166.pdf,BOQ Comparative Chart,1,2711636,BHASKAR MOHAPATRA,26-Dec-2024 03:36 PM,Accepted-AOC,DECIDED BY TENDER COMMITTEE,24-Jun-2025 11:28 AM,Municipal Bodies||Puri Municipality,2024_ORULB_108119_15,P.M. 02/24-25,Construction Of Gym Room At Satabakhara Jaga Ward 02,1.0,2711636.0,BHASKAR MOHAPATRA,INR,"828,408.62",24-Jun-2025,"INR 828,408.62",90.0,Jayanta Kumar Maitra,24-Jun-2025 11:28 AM,IMG_0001.pdf (3469.00 KB),AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2711595,BIJAYA NARAYAN PRATIHARI,26-Dec-2024 04:41 PM,Rejected-Finance,DECIDED BY TENDER COMMITTEE,24-Jun-2025 11:27 AM,,,,,,,,,,,,,,,,AOC
