Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,02-Jun-2025 06:51 PM,techsummary_532385.pdf (910.14 KB),1,2861892,MESSERS TATHAGATA ENGINEERING,19-Mar-2025 01:31 PM,Rejected-Technical,higher rate,02-Jun-2025 06:51 PM,02-Jun-2025,"INR 782,281",60.0,Siva Sankar Giri,02-Jun-2025 06:58 PM,workorderele.pdf (602.00 KB),1.0,2854443.0,Transpower,INR,"782,281",Finance,ALL BIDS ARE ACCEPTED,Siva Sankar Giri,02-Jun-2025 06:48 PM,finance_532385.pdf,BOQ Comparative Chart,Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,02-Jun-2025 06:54 PM,finsummary_532385.pdf (910.14 KB),Municipal Bodies||Remuna NAC,2025_ORULB_111393_1,RN_04_2024-25,Providing power supply to 38 KW GP Load for office of the Executive officer Remuna NAC At-Ganeswarpur (Elect) Section,AOC,"9,202",Yes,fixed,,Nil,Nil,10-Mar-2025 10:30 AM,20-Mar-2025 11:30 AM,10-Mar-2025 10:30 AM,19-Mar-2025 05:00 PM,NA ,NA ,10-Mar-2025 10:30 AM,19-Mar-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,Providing power supply to 38 KW GP Load for office of the Executive officer Remuna NAC At-Ganeswarpur (Elect) Section,38 KW GP Load,As per DTCN ,NA ,"9,20,223",Handling and Transportation,NA ,Tender,90.0,120.0,Office of Rmuna NAC,756019.0,NA ,NA ,NA ,Office of the Remuna NAC,No ,No,1.0,ICICI BANK,"Executive Officer ,Remuna NAC","Ganeswarpur,Remuna",Municipal Bodies||Remuna NAC,RN_04_2024-25,2025_ORULB_111393_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,EMD,Registration certificate etc. As per DTCN",AOC
,,,,,,2,2861763,POWER FRIENDS,18-Mar-2025 07:45 PM,Rejected-Technical,Higher rate,02-Jun-2025 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,3,2854443,Transpower,14-Mar-2025 11:35 AM,Accepted-AOC,Lowest One,02-Jun-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
