Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,All the bidders documents downloaded successfully,JISHU KRUSHNA BERIHA,27-Sep-2024 08:52 PM,finance_505922.pdf,BOQ Comparative Chart,1.0,2547701.0,TRIGAT SAHU,INR,"1,087,139.351","CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",2024_CEBMT_104563_2,e-KLID-01/2024-25,Cement Concrete lining and guard wall to Abujabahal sub minor from RD 485mtr to 1463 mtr under UIP(Working RD 485mtr to 723.20 Mtr,"SE, KALAHANDI IRRIGATION DIVISION",Internal,"SEKID, AEE ESTIMATOR, DAO",JISHU KRUSHNA BERIHA,03-Oct-2024 04:46 PM,finsummary_505922.pdf (449.69 KB),"SE, KALAHANDI IRRIGATION DIVISION",Internal,"SE, KALAHANDI, AEE ESTIMATOR, DAO",JISHU KRUSHNA BERIHA,30-Sep-2024 05:43 PM,techsummary_505922.pdf (1166.63 KB),1,2544763,ADITYA KUMAR PANDA,13-Sep-2024 06:12 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,01-Nov-2024,"INR 1,087,139.351",120.0,JISHU KRUSHNA BERIHA,14-Jun-2025 01:11 PM,02trigatasahu.pdf (450.00 KB),AWARD OF CONTRACT,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, Contractor RC, GSTIN, PAN, Affidavit, NRC and any other as per DTCN",1.0,ICICI BANK,Cement Concrete lining and guard wall to Abujabahal sub minor from RD 485mtr to 1463 mtr under UIP(Working RD 485mtr to 723.20 Mtr,Cement Concrete lining and guard wall to Abujabahal sub minor from RD 485mtr to 1463 mtr under UIP(Working RD 485mtr to 723.20 Mtr,Please refer Tender documents. ,NA ,"12,78,837",Civil Works - Others,NA ,Tender,90.0,120.0,RISIDA,766031.0,NA ,NA ,NA ,"Office of the SE, Kalahandi IrrigationDivisionBpt",No ,No,"12,790",Yes,fixed,,Nil,Nil,"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",e-KLID-01/2024-25,2024_CEBMT_104563_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE, Kalahandi Irrigation Division Bpt","Office of the Superintending Engineer, Kalahandi Irrigation Division, Bhawanipatna, Kalahandi-766001",02-Sep-2024 11:00 AM,18-Sep-2024 11:00 AM,02-Sep-2024 11:00 AM,17-Sep-2024 05:30 PM,02-Sep-2024 11:00 AM ,09-Sep-2024 05:30 PM ,02-Sep-2024 11:00 AM,17-Sep-2024 05:30 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2548968,BHAKTA CHARANA GOUDA,17-Sep-2024 06:59 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2546783,Binapani Panigrahi,13-Sep-2024 07:38 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2549256,DOLAMANI CHOUDHURY,16-Sep-2024 08:02 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2547588,GHANASHYAM SAHU,15-Sep-2024 06:56 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2549003,Jagnyasen Panda,17-Sep-2024 05:37 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2549049,Kunjabana Sahu,17-Sep-2024 05:26 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2547945,MALATI MAHALA,14-Sep-2024 10:40 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2549758,MANOJ KUMAR BAG,17-Sep-2024 03:14 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2549378,MEENA DEVI,17-Sep-2024 01:21 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
