Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,All Bidders admitted,Parsuram Panda,22-Jun-2025 08:32 PM,,BOQ Comparative Chart,1.0,2901063.0,PRADEEP KUMAR SUTAR,INR,"1,257,873",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||JHARBANDH Block,2025_PRBJH_112627_1,02/02/2025-26,"CONSTRUCTION OF ADDL. CLASS ROOM AT GOVT. UPPER PRY SCHOOL, DUDUKIDADAR KANDADANGAR GP OF JHARBANDH BLOCK",Parshuram Panda,Internal,"BDO, AEE,BFO,SO,AERWSS AND CP",Parsuram Panda,22-Jun-2025 08:56 PM,finsummary_537065.pdf (560.48 KB),Parshuram Panda,Internal,"BDO, AEE,BFO,SO,AERWSS AND CP",Parsuram Panda,22-Jun-2025 08:49 PM,techsummary_537065.pdf (560.48 KB),22-Jun-2025,"INR 1,257,873",180.0,Parsuram Panda,22-Jun-2025 09:04 PM,ACRDudukidadar.pdf (199.00 KB),The bidder has been selected through lottery,1,2901052,LOKNATH RANA,29-Apr-2025 09:09 PM,Rejected-AOC,L2,22-Jun-2025 09:04 PM,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||JHARBANDH Block,02/02/2025-26,2025_PRBJH_112627_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,BDO JHARBANDH,PANCHAYAT SAMITI JHARBANDH,"CONSTRUCTION OF ADDL. CLASS ROOM AT GOVT. UPPER PRY SCHOOL, DUDUKIDADAR KANDADANGAR GP OF JHARBANDH BLOCK",CIVIL WORKS,Please refer Tender documents. ,NA ,"14,79,677",Civil Works - Buildings,NA ,Tender,90.0,180.0,JHARBANDH,768042.0,NA ,NA ,NA ,PANCHAYAT SAMITI JHARBANDH,No ,No,"6,000",Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,CORRIGENDUM TO E-TENDER ADVERTISMENT NO-02/25-26,Other,,"14,800",Yes,fixed,,Nil,Nil,21-Apr-2025 11:00 AM,02-May-2025 11:00 AM,21-Apr-2025 11:00 AM,30-Apr-2025 05:00 PM,21-Apr-2025 11:00 AM ,22-Apr-2025 05:00 PM ,21-Apr-2025 11:00 AM,30-Apr-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2901063,PRADEEP KUMAR SUTAR,29-Apr-2025 09:01 PM,Accepted-AOC,Selected through lottery,22-Jun-2025 09:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
