Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of road from Badiguda to Umuri Chhak under MMSY-CMRL in the Districts of Nabarangpur for the year 2024-25,Construction of road from Badiguda to Umuri Chhak under MMSY-CMRL in the Districts of Nabarangpur for the year 2024-25,N.A. ,NA ,"1,43,28,000",Civil Works - Roads,NA ,Tender,90.0,182.0,NABARANGPUR,764059.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","1,44,000",Yes,fixed,,Nil,Nil,01-Mar-2025 05:00 PM,13-Mar-2025 11:00 AM,01-Mar-2025 05:00 PM,12-Mar-2025 05:00 PM,01-Mar-2025 05:00 PM ,11-Mar-2025 02:00 PM ,01-Mar-2025 05:00 PM,12-Mar-2025 05:00 PM,02-May-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,3rd corrigendum,Date,,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,21-Jun-2025 08:29 PM,finsummary_531887.pdf (910.50 KB),Technical,bidders name,Prabhakara Behera,29-Mar-2025 12:43 PM,technical_531887.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,,Rinku Nahak,28-Apr-2025 04:58 PM,02-May-2025 11:00 AM,techsummary_531887.pdf (2096.46 KB),Finance,cs,Prabhakara Behera,21-Jun-2025 08:23 PM,finance_531887.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_14,CCERWCSBD Online - 18/2024-25,Construction of road from Badiguda to Umuri Chhak under MMSY-CMRL in the Districts of Nabarangpur for the year 2024-25,1.0,2851790.0,Suraj Pati,INR,"12,179,953.81",1,2850984,BIKRAM KUMAR GUPTA,12-Mar-2025 02:05 AM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,21-Jun-2025,"INR 14,327,671.819",182.0,Prabhakara Behera,21-Jun-2025 08:35 PM,AOCBADIGUDA.pdf (2287.00 KB),"Award of contract to Suraj Pati, B Class Engineering Contractor through transparency lottery system",AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,2.0,corrigendum-4,Technical Bid,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2844455,HARIBANDHU KHORA,10-Mar-2025 10:24 PM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2850959,NILAMADHAB NAIK,11-Mar-2025 10:52 PM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2852376,SAHIL KHAN,12-Mar-2025 04:26 PM,Rejected-Technical,DISQUALIFIED,28-Apr-2025 04:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2851608,SANAT KUMAR GHOSE,12-Mar-2025 11:19 AM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2843065,SS CONSTRUCTION,04-Mar-2025 08:22 AM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2851527,SUBARAO SENAPATI,12-Mar-2025 10:46 AM,Rejected-AOC,REJECT,21-Jun-2025 08:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2851915,SUBASH CHANDRA PRADHAN,12-Mar-2025 01:08 PM,Rejected-Technical,DISQUALIFIED,28-Apr-2025 04:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2851991,SUBHRANSHU NAYAK,12-Mar-2025 04:12 PM,Rejected-Technical,DISQUALIFIED,28-Apr-2025 04:58 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2851790,Suraj Pati,12-Mar-2025 12:17 PM,Accepted-AOC,"Award of contract to Suraj Pati, B Class Engineering Contractor through transparency lottery system",21-Jun-2025 08:36 PM,,,,,,,,AOC
