S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,2585028.0,M.J.CONSTRUCTION,INR,"90,042,447",Technical,Opened,Lipsa Mallick,30-Oct-2024 01:40 PM,,EIC-CIVIL,2024_EICCL_105446_7,CE-ROADS-II-06/2024-25,Improvement such as widening and strengthening of Jharmunda Chowk to Rasiapali road from 0/000 km to 5/341 km in the district of Sambalpur under State Plan,CE Roads-II Odisha,Internal,,Pradipta Kumar Nayak,18-Jun-2025 07:27 PM,finsummary_508586.pdf (314.48 KB),EIC Civil cum Roads,Internal,,Lipsa Mallick,31-Dec-2024 06:56 PM,03-Jan-2025 11:30 AM,techsummary_508586.pdf (371.59 KB),Finance,Finance opening,Lipsa Mallick,03-Jan-2025 12:38 PM,,BOQ Comparative Chart,18-Jun-2025,"INR 90,042,447",300.0,Pradipta Kumar Nayak,18-Jun-2025 07:32 PM,Jharmunda_Rasiapali_AOC.pdf (314.00 KB),46P1 of 2025-26,1,2576465,Ashok Kumar Jalan,21-Oct-2024 12:34 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,1.0,ICICI BANK,EIC-CIVIL,CE-ROADS-II-06/2024-25,2024_EICCL_105446_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar","10,59,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,05-Oct-2024 10:00 AM,30-Oct-2024 11:30 AM,05-Oct-2024 10:00 AM,29-Oct-2024 05:30 PM,NA ,NA ,05-Oct-2024 10:00 AM,29-Oct-2024 05:30 PM,03-Jan-2025 11:30 AM,Improvement such as widening and strengthening of Jharmunda Chowk to Rasiapali road from 0/000 km to 5/341 km in the district of Sambalpur under State Plan,Improvement such as widening and strengthening of Jharmunda Chowk to Rasiapali road from 0/000 km to 5/341 km in the district of Sambalpur under State Plan,Please refer Tender documents. ,NA ,"10,59,19,830",Civil Works - Roads,NA ,Tender,90.0,300.0,Sambalpur-II Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",1.0,1st Corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2587280,Binod Kumar Agrawal,26-Oct-2024 10:49 PM,Rejected-Technical,Disqualified,31-Dec-2024 06:56 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,2.0,2nd Corrigendum,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2598916,BISWAKARMAA SUBHANSU CHANDRASEKHAR,29-Oct-2024 04:17 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2584251,CHAWALA CONSTRUCTION,21-Oct-2024 03:42 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2599091,DHANESWAR SAHU,29-Oct-2024 05:19 PM,Rejected-Technical,Disqualified,31-Dec-2024 06:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2586391,JAGADAMBA CONSTRUCTION,21-Oct-2024 12:33 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2586493,MAA SANTOSHI ENTERPRISES,21-Oct-2024 01:44 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2585028,M.J.CONSTRUCTION,20-Oct-2024 10:17 PM,Accepted-AOC,Selected as L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2586982,M/S SUMEET & ASSOCIATES,29-Oct-2024 01:21 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2597706,Paban Kumar Agrawal,29-Oct-2024 11:57 AM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2597771,PRAVEEN AGRAWAL,29-Oct-2024 12:14 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2598831,RAJAT MOHAPATRA,29-Oct-2024 03:48 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2580148,SANAT KUMAR PANDA,28-Oct-2024 09:25 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2587006,SUDHIR KUMAR SAIDEO,22-Oct-2024 02:30 PM,Rejected-Technical,Disqualified,31-Dec-2024 06:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2582641,SYED AHESANULLAH,21-Oct-2024 07:04 PM,Rejected-Technical,Disqualified,31-Dec-2024 06:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2583453,Varvinder Singh Chawla,20-Oct-2024 01:27 PM,Rejected-AOC,L1 bidder,18-Jun-2025 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
