Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Hinjilicut Municipal Council,HIN-MUN-05/2024-25,2025_ORULB_111165_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Mar-2025 11:00 AM,18-Mar-2025 11:00 AM,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,NA ,NA ,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Scan copy of PAN, GST clearance, Affidavit and Other documents as mention in DTCN",1.0,ICICI BANK,EXECUTIVE OFFICER,HINJILICUT MUNICIPALITY,Construction of RCC Drain with Cover Slab at Biju Pattnayak Marga 2nd Line of Ward No-20 Under Hinjilicut Municipality,Construction of RCC Drain with Cover Slab at Biju Pattnayak Marga 2nd Line of Ward No-20 Under Hinjilicut Municipality,Please refer Tender documents. ,NA ,"14,95,217",Civil Works - Others,NA ,Tender,60.0,60.0,HINJILICUT MUNICIPALITY,761102.0,NA ,NA ,NA ,HINJILICUT MUNICIPALITY,No ,No,"14,952",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,"Chairperson, Hinjilicut Municipality",Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality.",Jubulee Charan Behera,06-Jun-2025 11:28 AM,finsummary_531612.pdf (368.98 KB),"Chairperson, Hinjilicut Municipality",Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality.",Jubulee Charan Behera,06-Jun-2025 11:15 AM,techsummary_531612.pdf (280.25 KB),Municipal Bodies||Hinjilicut Municipal Council,2025_ORULB_111165_21,HIN-MUN-05/2024-25,Construction of RCC Drain with Cover Slab at Biju Pattnayak Marga 2nd Line of Ward No-20 Under Hinjilicut Municipality,1.0,2859367.0,ANIL KUMAR SAHU,INR,"1,271,084.11",1,2859367,ANIL KUMAR SAHU,17-Mar-2025 04:06 PM,Accepted-AOC,As per transparent lottary system.,06-Jun-2025 11:35 AM,06-Jun-2025,"INR 1,271,084.11",60.0,Jubulee Charan Behera,06-Jun-2025 11:35 AM,AOC.pdf (360.00 KB),Finance,4 nos. of bidder participated and document downloaded successfully.,Mukesh Kumar Pradhan,19-Mar-2025 05:46 PM,finance_531612.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2855505,GOPAL CHANDRA SAHU,15-Mar-2025 05:03 PM,Rejected-AOC,As per transparent lottary system.,06-Jun-2025 11:35 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2858152,Rajanikanta Panda,17-Mar-2025 12:31 PM,Rejected-AOC,As per transparent lottary system.,06-Jun-2025 11:35 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2854964,SAROJ KUMAR NAHAK,14-Mar-2025 05:40 PM,Rejected-AOC,As per transparent lottary system.,06-Jun-2025 11:35 AM,,,,,,,,,,,,,AOC
