S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,10-Apr-2025 11:00 AM,22-Apr-2025 11:00 AM,10-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,10-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,10-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||KRUSHNAPRASAD Block,KRUSHNAPRASAD.01/2025-26,2025_ZPKRP_112367_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"BDO,KRUSHNAPRASAD",BLOCK OFFICE KRUSHNAPRASAD,"7,080",Nil,Nil,No,"24,041",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST IN,VALID CONTRACTOR RC,EMD ONLINE RECEIPT,PAPER COST,PAN CARD",CONST OF GPLF CUM MARKET COMPLEX BUILDING AT GP LEVEL OF MALUD GP,CONST OF GPLF BUILDING CUM MARKET COMPLEX,Please refer Tender documents. ,NA ,"24,04,134",Civil Works - Buildings,NA ,Tender,120.0,90.0,MALUD,752032.0,NA ,NA ,NA ,BLOCK OFFICE KRUSHNAPRASAD,No ,No,AOC,AMIYA KUMAR PANDA,Internal,"BFO,AEE,CP,JES,SO,DA DEV,CASHIER",MAHENDRA SAHOO,15-May-2025 06:25 PM,finsummary_535893.pdf (2833.21 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||KRUSHNAPRASAD Block,2025_ZPKRP_112367_1,KRUSHNAPRASAD.01/2025-26,CONST OF GPLF CUM MARKET COMPLEX BUILDING AT GP LEVEL OF MALUD GP,1.0,2890372.0,M/s ULLASH CHANDRA TARAI,INR,"2,043,754.18",Finance,3 bidders have participated in the bid.,AMIYA KUMAR PANDA,22-Apr-2025 10:45 PM,finance_535893.pdf,BOQ Comparative Chart,1,2890372,M/s ULLASH CHANDRA TARAI,21-Apr-2025 03:12 PM,Accepted-AOC,won in the transparent lottery,17-Jun-2025 07:56 PM,15-May-2025,"INR 2,043,754.18",90.0,AMIYA KUMAR PANDA,17-Jun-2025 07:56 PM,ullastaraimaludgplf.pdf (910.00 KB),AMIYA KUMAR PANDA,Internal,"BFO,CP,CASHIER,JES,AEE,SO,DA DEV",TIRTHA TATHAGATA AICH,15-May-2025 06:11 PM,techsummary_535893.pdf (2833.22 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER PAPERS,AFFIDAVITS,ANNEXURES,SCHEDULES,UNDERTAKINGS,OTHER DOCUMENTS AS PER DTCN/NIT",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2885811,RANJAN KUMAR PRADHAN,16-Apr-2025 12:32 PM,Rejected-AOC,Failed in the transparent lottery,17-Jun-2025 07:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2890165,SAMANTA CHANDRASEKHAR JENA,21-Apr-2025 01:43 PM,Rejected-AOC,Failed in the transparent lottery,17-Jun-2025 07:56 PM,,,,,,,,,,,,,AOC
