S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2873000.0,DEEPTI RANJAN PANDA,INR,"1,910,663.69",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111739_24,e-Procurement Notice No.18/ 2024-25,JJPR-35/24-25 Restoration to right bank of 1 Main Extension from Bartanga to Gopakula.,1,2871364,BHARAT KUMAR SAHOO,27-Mar-2025 10:03 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,26-Jun-2025,"INR 1,910,663.69",180.0,Ratnakar Dalai,26-Jun-2025 02:34 PM,WO18_35.pdf (474.00 KB),Contract Awarded,Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,03-Apr-2025 06:12 PM,finance_533619.pdf,BOQ Comparative Chart,"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,26-Jun-2025 12:43 PM,finsummary_533619.pdf (473.58 KB),"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Antaryami Mohanty,10-May-2025 12:13 AM,techsummary_533619.pdf (696.82 KB),AOC,1.0,ICICI BANK,19-Mar-2025 09:00 AM,02-Apr-2025 11:30 AM,19-Mar-2025 09:00 AM,29-Mar-2025 05:00 PM,19-Mar-2025 09:00 AM ,24-Mar-2025 05:00 PM ,19-Mar-2025 09:00 AM,29-Mar-2025 05:00 PM,JJPR-35/24-25 Restoration to right bank of 1 Main Extension from Bartanga to Gopakula.,Canal restoration,Please refer Tender documents. ,NA ,"22,47,575",Civil Works - Canal,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.18/ 2024-25,2025_CDJID_111739_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"22,500",Yes,fixed,,Nil,Nil,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",AOC
,,,,,,,,,2,2867745,BIDYADHAR PANDA,27-Mar-2025 12:26 AM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2871735,BIPRA CHARAN SAMANTARAY,28-Mar-2025 12:22 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2873000,DEEPTI RANJAN PANDA,29-Mar-2025 11:30 AM,Accepted-AOC,Won the lottery,26-Jun-2025 02:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2872202,DHARMENDRA PARIDA,28-Mar-2025 03:33 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2872800,GOURAB KUMAR BHUYAN,29-Mar-2025 12:46 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2872688,JAGABANDHU JENA,29-Mar-2025 01:20 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2873179,KAMALAKANTA JENA,29-Mar-2025 01:31 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2872075,MANORANJAN ROUT,28-Mar-2025 02:27 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2864931,M/S KALYAN KUMAR ROUTRAY,25-Mar-2025 11:45 AM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,2868874,M/S UPENDRA PARIDA,29-Mar-2025 02:10 AM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,2870121,PRATIPARNA PARAKRANTA NAYAK,27-Mar-2025 09:10 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,2868316,RASHMI ROY,25-Mar-2025 07:01 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,2873431,R.NARAYAN CONSTRUCTIONS,29-Mar-2025 04:38 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,2869830,SAKTI KANTA NATH,26-Mar-2025 08:01 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,2867964,SANGITA DHAL,28-Mar-2025 07:33 AM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,2871340,SHANTI SAHOO,28-Mar-2025 04:49 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,2871249,SOMYAJIT NAYAK,27-Mar-2025 07:57 PM,Rejected-Technical,Did not satisfy as per DTCN,10-May-2025 12:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
