Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"71,900",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,16/OPHWC/2024-25,2025_OSPHW_111394_21,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Constn. of Library Building at Pathani Samanta Degree College, Khandapada, Nayagarh",Building Work,Please refer Tender documents  ,NA ,"71,89,959",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nayagarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,08-Mar-2025 11:00 AM,25-Mar-2025 10:30 AM,08-Mar-2025 11:00 AM,24-Mar-2025 05:00 PM,NA ,NA ,08-Mar-2025 11:00 AM,24-Mar-2025 05:00 PM,01-May-2025 10:30 AM,AOC,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,30-Apr-2025 06:51 PM,01-May-2025 10:30 AM,techsummary_532429.pdf (327.62 KB),Finance,financial bid open and comparative generated,Bikram Keshari Malla,01-May-2025 11:30 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,20-Jun-2025 02:04 PM,finsummary_532429.pdf (406.42 KB),Technical,three bidder have particiapted,Bikram Keshari Malla,28-Mar-2025 01:11 PM,,1,2866496,ASHOK KUMAR SETHI,24-Mar-2025 12:54 PM,Rejected-Finance,DUE TO L2 BIDDER,20-Jun-2025 02:04 PM,1.0,2866385.0,sukanta sethi,INR,"6,305,594.26",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111394_21,16/OPHWC/2024-25,"Constn. of Library Building at Pathani Samanta Degree College, Khandapada, Nayagarh",20-Jun-2025,"INR 6,305,594.26",180.0,Bikram Keshari Malla,20-Jun-2025 02:10 PM,WORKORDERR.pdf (523.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 31.05.2025,AOC
,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2863839,RAJ KISHORE DALEI,23-Mar-2025 01:43 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,30-Apr-2025 06:51 PM,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2866385,sukanta sethi,24-Mar-2025 12:44 PM,Accepted-AOC,QUALIFIED BIDDER,20-Jun-2025 02:10 PM,,,,,,,,,,,,,,,,,AOC
