Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,Repair and Renovation P.W.D. I.B with Approach Road at Laxmipur during the year 2024-25,Civil Work,Please refer Tender documents ,NA ,"34,78,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Laxmipur,765013.0,NA ,NA ,NA ,Office of the S.E R and B Division Korpaut,No ,No,"35,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, GSTIN,PAN, Registration certificate and other documents",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,16/S.E R and B KPT- 2024-25,2025_EICCL_110034_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S.E R and B Division Korpaut,Office of the S.E R and B Division Korpaut,03-Feb-2025 11:00 AM,14-Feb-2025 12:00 PM,03-Feb-2025 11:00 AM,13-Feb-2025 05:00 PM,NA ,NA ,03-Feb-2025 11:00 AM,13-Feb-2025 05:00 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,2025_EICCL_110034_1,16/S.E R and B KPT- 2024-25,Repair and Renovation P.W.D. I.B with Approach Road at Laxmipur during the year 2024-25,Superintending Engineer,Internal,"JE ESTIMATOR AE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Shubhakanta Barik,30-Jun-2025 05:49 PM,finsummary_528157.pdf (484.79 KB),Finance,10 nos. of tenderers documents opened,Shubhakanta Barik,30-Jun-2025 05:30 PM,finance_528157.pdf,BOQ Comparative Chart,1.0,2815071.0,Arvind Kumar,INR,"2,957,012",30-Jun-2025,"INR 2,957,012",90.0,Shubhakanta Barik,30-Jun-2025 06:02 PM,LAXMIPURIB.pdf (964.00 KB),AWARD OF CONTRACT,1,2815071,Arvind Kumar,13-Feb-2025 11:16 AM,Accepted-AOC,Selected through a transparent lottery system,30-Jun-2025 06:02 PM,Superintending Engineer,Internal,JE ESTIMATOR AEE ESTIMATOR and DAO KORAPUT R and B DIVISION,Shubhakanta Barik,30-Jun-2025 05:42 PM,techsummary_528157.pdf (920.39 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2815578,Balaram Subuddhi,13-Feb-2025 01:32 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2812722,BHASKAR CHANDRA ACHARYA,12-Feb-2025 01:28 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2810748,BISHNUPRIYA NAYAK,11-Feb-2025 06:42 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2815395,B RAJ KISHORE SINGH,13-Feb-2025 12:49 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2801100,CHANDRA SEKHAR ROUT,06-Feb-2025 05:28 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2815505,JAGANNATH BISOI,13-Feb-2025 01:14 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2815121,RABI NARAYAN NAYAK,13-Feb-2025 11:34 AM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2803334,RAMESH NAYAK,07-Feb-2025 08:31 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2816173,SRI UMASANKAR TURUK,13-Feb-2025 04:02 PM,Rejected-AOC,Not selected through the lottery system.,30-Jun-2025 06:02 PM,,,,,,,AOC
