S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,30-Oct-2024 06:55 PM,14-Nov-2024 11:30 AM,30-Oct-2024 06:55 PM,13-Nov-2024 05:00 PM,NA ,NA ,30-Oct-2024 06:55 PM,13-Nov-2024 05:00 PM,17-Mar-2025 11:00 AM,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB DIVN KHURDA,TCN-16-24-25,2024_EICCL_106232_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"55,100",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy Tender cost, EMD, GSTIN, PAN, Contractor RC and Affidavit","Construction of Peddy Procurement Centre at Manibandha SCS, BolagarhBiock in the district of Khordha.","Construction of Peddy Procurement Centre at Manibandha SCS, BolagarhBiock in the district of Khordha.",Please refer Tender documents. ,NA ,"55,00,786",Civil Works - Buildings,NA ,Tender,90.0,90.0,khordha,752055.0,NA ,NA ,NA ,O/O SE RANDB KHURDA,No ,No,SE RANDB KHURDA,"O/o the SUPERINTENDING Engineer R and B Division, Khurda",AOC,1,2640197,AJAYA KUMAR BISWAL,11-Nov-2024 06:12 PM,Rejected-AOC,Not Successful in transparent lottery,05-Jun-2025 12:42 PM,29-May-2025,"INR 4,676,218",90.0,Shibalal Sahoo,05-Jun-2025 12:42 PM,71.pdf (988.00 KB),agrt. done,Finance,6 nos bidder are admitted,Ch Akshaya Kumar Subudhi,17-Mar-2025 01:28 PM,,BOQ Comparative Chart,"SE, Khordha (RB) Division",Internal,"Estimator, DAO",Shibalal Sahoo,13-Mar-2025 05:35 PM,17-Mar-2025 11:00 AM,techsummary_513496.pdf (816.32 KB),"SE, Khordha (RB) Division",Internal,"Estimator, DAO",Shibalal Sahoo,02-Apr-2025 04:18 PM,finsummary_513496.pdf (1061.81 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB DIVN KHURDA,2024_EICCL_106232_5,TCN-16-24-25,"Construction of Peddy Procurement Centre at Manibandha SCS, BolagarhBiock in the district of Khordha.",Technical,6 nos bidder are admitted,Ch Akshaya Kumar Subudhi,14-Nov-2024 03:47 PM,,1.0,2644400.0,PRADEEP KUMAR AGRAWALLA,INR,"4,676,218",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,AOC,2,2639072,GOPAL KRUSHNA FATESINGH,13-Nov-2024 01:22 PM,Rejected-Finance,L2 bidder,02-Apr-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC,3,2643583,ISAHAQUE KHAN,13-Nov-2024 11:10 AM,Rejected-Finance,L3 bidder,02-Apr-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2644292,Nibas Routray,13-Nov-2024 03:21 PM,Rejected-AOC,Not Successful in transparent lottery,05-Jun-2025 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2644400,PRADEEP KUMAR AGRAWALLA,13-Nov-2024 03:39 PM,Accepted-AOC,Successful in transparent lottery,05-Jun-2025 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2635973,UMESH KUMAR MOHANTY,10-Nov-2024 04:03 PM,Rejected-AOC,Not Successful in transparent lottery,05-Jun-2025 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
