EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"1,05,040",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC,EMD, Tender Paper Cost, PAN, GSTIN, Affidavit regarding correctness, No relation certificate",Construction of Day care PHC Building at Karlapada,Construction of Day care PHC Building at Karlapada,Please refer Tender documents. ,NA ,"1,05,04,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Bhawanipatna/Kalahandi,766001.0,NA ,NA ,NA ,"O/o the CCE RW Circle, Bhawanipatna",No ,No,08-Jan-2024 11:00 AM,25-Jan-2024 11:00 AM,08-Jan-2024 11:00 AM,24-Jan-2024 05:00 PM,08-Jan-2024 11:00 AM ,22-Jan-2024 05:00 PM ,08-Jan-2024 11:00 AM,24-Jan-2024 05:00 PM,09-Feb-2024 11:00 AM,Chief Construction Engineer,"O/o the CCE RW Circle, Bhawanipatna",CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-42/2023-24,2024_CERWI_99393_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,RP ACHARYA,Internal,,Pradeep Kisan,06-Feb-2024 08:33 PM,09-Feb-2024 11:00 AM,techsummary_483176.pdf (236.87 KB),1.0,2402472.0,GOPAL PRASAD SAHU,INR,"8,929,741",CE RW I||RWCIRCLE-BHAWANIPATNA,2024_CERWI_99393_2,BPT/Online-42/2023-24,Construction of Day care PHC Building at Karlapada,Technical,10nos. bidders are participated,Pradeep Kisan,25-Jan-2024 11:54 AM,,1,2404448,ABHISEK KUMAR AGRAWAL,24-Jan-2024 03:46 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,Finance,PRICE BID OPENED,Pradeep Kisan,09-Feb-2024 01:18 PM,,BOQ Comparative Chart,RP ACHARYA,Internal,,Pradeep Kisan,21-Feb-2024 11:05 AM,finsummary_483176.pdf (376.10 KB),04-Jun-2025,"INR 10,504,342",90.0,Pradeep Kisan,04-Jun-2025 12:54 PM,phc2025.pdf (299.00 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,"ATO, Similar Nature of Work, Work hand,Work experience, machinarie and other document as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2402096,ANKIT KUMAR AGRAWAL,23-Jan-2024 09:10 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2403617,Bhakta Charan Bhoi,24-Jan-2024 02:57 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2403863,Biswajit Mund,24-Jan-2024 03:20 PM,Rejected-AOC,rejected,04-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2402119,GANARAM MAHALA,23-Jan-2024 08:45 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2402472,GOPAL PRASAD SAHU,23-Jan-2024 03:10 PM,Accepted-AOC,Agreement drawn,04-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2403158,GOVIND PRASAD SAHU,24-Jan-2024 04:28 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2401611,SHASHIRAM MANGARAJ,22-Jan-2024 02:16 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2403638,SKG COMBINES PRIVATE LIMITED,24-Jan-2024 04:10 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2403191,Sudhansu Kumar Sahu,23-Jan-2024 09:08 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,21-Feb-2024 11:05 AM,,,,,,,,,,,,,,,,,,,AOC
