Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Superintending Engineer, R.W. Division,Gunupur","O/o Superintending Engineer, R.W. Division,Gunupur","6,000",0.0,Nil,Nil,No,07-Jan-2025 10:00 AM,18-Jan-2025 11:00 AM,07-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,NA ,NA ,07-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN CARD, LICENCE, AFFIDAVIT",Repair and Maintenance of Kodama to Rengam in the district of Rayagada for the year 2024 25,Repair and Maintenance of Kodama to Rengam in the district of Rayagada for the year 2024 25,NA ,NA ,"29,23,352",Civil Works - Roads,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Superintending Engineer, R.W. Division,Gunupur",No ,No,"29,234",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,SERWGNP-Online-03/2024-25,2025_CERWI_109142_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2744763,Abani Ranjan Panigrahi,12-Jan-2025 03:28 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,06-Jun-2025,"INR 2,485,141.75",30.0,Amit Prasan Kiro,06-Jun-2025 10:31 PM,Agreement.PDF (96.00 KB),The qualified bidder selected through transparent lottery system.,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,06-Jun-2025 10:06 PM,techsummary_524219.pdf (238.88 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,2025_CERWI_109142_5,SERWGNP-Online-03/2024-25,Repair and Maintenance of Kodama to Rengam in the district of Rayagada for the year 2024 25,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,06-Jun-2025 10:19 PM,finsummary_524219.pdf (238.88 KB),Finance,Tender Open,Amit Prasan Kiro,06-Jun-2025 12:47 PM,finance_524219.pdf,BOQ Comparative Chart,1.0,2746143.0,VOONA SASHIBHUSAM RAO,INR,"2,485,141.75",AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2747804,Akhyaya Kumar Sahu,13-Jan-2025 08:23 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2756412,ALLAPA BISWESWARA RAO,16-Jan-2025 10:42 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2755869,ASHOK NAIR,16-Jan-2025 03:36 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2759052,BADAL KUMAR MADALA,17-Jan-2025 01:07 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2744294,Balaram Panigrahi,14-Jan-2025 08:36 AM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2759432,BASUDEB DAS,17-Jan-2025 02:07 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2760000,BEJIPURAM KHAGESWAR RAO,17-Jan-2025 04:18 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2759706,BEJJIPURAPU VASU NAIDU,17-Jan-2025 02:41 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2753830,Bighnaraj Barik,16-Jan-2025 10:41 AM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
