Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
19-Jun-2025,"INR 1,878,564",45.0,Khagendra Barik,19-Jun-2025 01:37 PM,LAXMANPALI.pdf (1857.00 KB),L1 BIDDER HAS RESPOND,Finance,BID HAS BEEN OPENED,Khagendra Barik,18-Apr-2025 12:39 PM,finance_535382.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,19-Jun-2025 01:32 PM,finsummary_535382.pdf (1857.44 KB),1,2878520,Arihant Electricals and Engineers,11-Apr-2025 09:43 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112211_3,BID NO 26 OF 2024 - 25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Laxmanpali, Pandesara, under Agalpur Block in Balangir District",1.0,2884090.0,MDSG CONSTRUCTION PRIVATE LIMITED,INR,"1,596,967",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,19-Jun-2025 01:26 PM,techsummary_535382.pdf (1857.44 KB),AOC,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Laxmanpali, Pandesara, under Agalpur Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Laxmanpali, Pandesara, under Agalpur Block in Balangir District",Please refer DTCN ,NA ,"18,78,564",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Laxmanpali, Pandesara under Agalpur Block",767022.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST, PAN, Contractor Registration Certificate, Experience Certificate etc","18,786",Yes,percentage,1.0%,Nil,Nil,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 26 OF 2024 - 25,2025_RWSS_112211_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,O/o Superintending Engineer RWSS Division Balangir,05-Apr-2025 11:00 AM,16-Apr-2025 11:00 AM,05-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,NA ,NA ,05-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,2,2882998,ASHOK CHANDRA PATRA,12-Apr-2025 06:17 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,19-Jun-2025 01:37 PM,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,2884162,MAA BHUBANESWARI ELECTRICALS,15-Apr-2025 03:01 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,2884090,MDSG CONSTRUCTION PRIVATE LIMITED,14-Apr-2025 09:55 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,19-Jun-2025 01:37 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,2884806,M/S K.P. ELECTRICAL AND ENGINEERS,15-Apr-2025 02:04 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,2883024,"M/s Ramchandi Construction, Nayagargh",12-Apr-2025 10:15 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,2879197,M/S SAMBEET SUPPLIERS,10-Apr-2025 11:25 AM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,2884688,M/S SAROJINEE POWER AND CONSTRUCTION,15-Apr-2025 01:36 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,2884451,PABITRA ELECTRICAL WORKSHOP,15-Apr-2025 03:20 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,2884655,PNP CONSTRUCTION,15-Apr-2025 01:15 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 01:32 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
