Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"51,669",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate, Labour License","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 16/2024-25,2025_CEMIB_111905_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Mar-2025 11:30 AM,09-Apr-2025 11:00 AM,25-Mar-2025 11:30 AM,08-Apr-2025 05:30 PM,25-Mar-2025 11:30 AM ,08-Apr-2025 05:30 PM ,25-Mar-2025 11:30 AM,08-Apr-2025 05:30 PM,11-Apr-2025 09:00 AM,Construction of Tinkudagirijapada (Ledhimahul) Check dam over Ghurlijore nalla near village Tinkuda in Tangarpali Block of Sundargarh District under MATY Scheme 2024-25.,Construction of Tinkudagirijapada (Ledhimahul) Check dam over Ghurlijore nalla near village Tinkuda in Tangarpali Block of Sundargarh District under MATY Scheme 2024-25.,B class contractor ,NA ,"51,66,912",Civil Works - Others,Check dam ,Tender,90.0,90.0,Tangarpali Block,770011.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,AOC,Technical,All the 14 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence their financial bids have been opened.,DHIRENDRA KUMAR NAIK,11-Apr-2025 08:33 AM,technical_534315.pdf,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_111905_1,SE MID SNG 16/2024-25,Construction of Tinkudagirijapada (Ledhimahul) Check dam over Ghurlijore nalla near village Tinkuda in Tangarpali Block of Sundargarh District under MATY Scheme 2024-25.,"Er. D.K. Naik, SE MI Division, Sundargarh",Internal,"Sri V.Grewal DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr), Miss G. Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,23-Apr-2025 09:25 AM,finsummary_534315.pdf (910.52 KB),1.0,2874767.0,M/S KUMUDINI SAIDEO,INR,"4,392,392.12",1,2875498,AKASH PRATAP SHEKHAR DEO,04-Apr-2025 06:11 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,30-Apr-2025,"INR 4,392,392.12",90.0,DHIRENDRA KUMAR NAIK,18-Jun-2025 12:36 PM,tinkudagirijapada.pdf (682.00 KB),The tender of M/S Kumudini Saideo B class Gen contractor decided in Transparent Lottery Amounting to Rs 4392392.12 being 14.99 percent less than the Tendered value is accepted.,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri V. Grewal DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,11-Apr-2025 08:40 AM,11-Apr-2025 09:00 AM,techsummary_534315.pdf (1307.30 KB),Finance,All the 14 nos bidders have quoted equal rate i. e. 14.99 percentage less than the estimated cost put to tender hence 14nos bidders may be invited for lottery,DHIRENDRA KUMAR NAIK,22-Apr-2025 12:18 PM,,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2878715,Ashish Singh,08-Apr-2025 11:45 AM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2874838,DEBASISH KHUNTIA,02-Apr-2025 05:27 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2878342,KRUSHNA CHANDRA TANDIA,07-Apr-2025 06:18 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2874767,M/S KUMUDINI SAIDEO,02-Apr-2025 07:18 PM,Accepted-AOC,Accepted,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2875292,PITAMBAR KISAN,03-Apr-2025 03:32 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2878575,RAJ KISHORE BHATTACHARYA,08-Apr-2025 07:21 AM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2877041,RASMITA NAIK,05-Apr-2025 08:24 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2875460,RIMJHIM KUMARI,04-Apr-2025 05:51 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2873730,RUPALIN BISWAL,31-Mar-2025 08:07 PM,Rejected-AOC,Rejected,18-Jun-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
