Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",Nil,Nil,No,DPC SS SNG,DPO SS SUNDARGARH,1.0,Fee/PreQual/Technical,.pdf,"LICENSE, PAN, GST, EXPERIENCE, TOOLS AND PLANTS, ALL DOCUMENTS AS PER DTCN","3,50,000",Yes,fixed,,Nil,Nil,21-Mar-2025 09:00 AM,11-Apr-2025 05:30 PM,21-Mar-2025 09:00 AM,11-Apr-2025 05:00 PM,21-Mar-2025 09:00 AM ,11-Apr-2025 05:00 PM ,21-Mar-2025 09:00 AM,11-Apr-2025 05:00 PM,26-Apr-2025 10:20 AM,Infrastructure development of SUKUDA GOVT PRIMARY SCHOOL AND THETEIPOSH GOVT UPPER PRIMARY SCHOOL under BISRA,Infrastructure development of SUKUDA GOVT PRIMARY SCHOOL AND THETEIPOSH GOVT UPPER PRIMARY SCHOOL under BISRA,Please refer Tender documents. ,NA ,"3,49,62,922",Civil Works - Buildings,NA ,Tender,90.0,330.0,SUNDARGARH,770001.0,NA ,NA ,NA ,DPO SS SUNDARGARH,No ,No,1.0,ICICI BANK,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPC/SS/SNG/11,2025_OPEPA_111796_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2881369,AJAY KUMAR AGRAWAL,11-Apr-2025 08:28 AM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,09-Jun-2025,"INR 31,470,126.52",330.0,Amulya Kumar Pradhan,08-Jun-2025 12:25 PM,1117965.pdf (390.00 KB),1.0,CORRECTION IN TECHNICAL EVALUATION,CORRECTION IN TECHNICAL EVALUATION,25-Apr-2025 07:51 PM,A5.pdf ,100.37,Technical Opening,DPC SS SNG,Internal,,Amulya Kumar Pradhan,26-Apr-2025 10:14 AM,26-Apr-2025 10:20 AM,techsummary_533795.pdf (370.18 KB),Finance,SUMMERY,Amulya Kumar Pradhan,26-Apr-2025 11:19 AM,finance_533795.pdf,BOQ Comparative Chart,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,2025_OPEPA_111796_5,DPC/SS/SNG/11,Infrastructure development of SUKUDA GOVT PRIMARY SCHOOL AND THETEIPOSH GOVT UPPER PRIMARY SCHOOL under BISRA,Technical,SUMMERY,Amulya Kumar Pradhan,26-Apr-2025 09:43 AM,technical_533795.pdf,DPC SS SNG,Internal,,Amulya Kumar Pradhan,08-Jun-2025 12:22 PM,finsummary_533795.pdf (370.18 KB),1.0,2882182.0,KANAK INFRASTRUCTURE,INR,"31,470,126.52",AOC
,,,,,,,,.pdf,ALL DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,2,2880773,AJAY KUMAR SAHU,10-Apr-2025 05:50 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2879569,BHABANI SHANKAR PATEL,10-Apr-2025 07:42 AM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2880305,BIJAYA KUMARA JAISWAL,09-Apr-2025 11:45 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2880839,BIJAY KUMAR AGRAWAL,10-Apr-2025 02:46 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2881500,ETWA BECK,11-Apr-2025 12:08 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2882182,KANAK INFRASTRUCTURE,11-Apr-2025 03:05 PM,Accepted-AOC,won lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2873830,MS DIBYANSU CONSTRUCTION PVT. LTD.,11-Apr-2025 07:53 AM,Rejected-Technical,REJECTED,26-Apr-2025 10:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2882174,M/S. MAA TARA CONSTRUCTION,11-Apr-2025 02:00 PM,Rejected-Finance,L2 rejected,08-Jun-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2882274,SRIJAN CONSTRUCTION,11-Apr-2025 02:33 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
