S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"6,000",Nil,Nil,No,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.16/ 2024-25,2025_CDJID_110372_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,700",Yes,fixed,,Nil,Nil,10-Feb-2025 10:00 AM,27-Feb-2025 11:30 AM,10-Feb-2025 10:00 AM,25-Feb-2025 05:00 PM,10-Feb-2025 10:00 AM ,17-Feb-2025 05:00 PM ,10-Feb-2025 10:00 AM,25-Feb-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",JJPR-6/24-25 Restoration to sluice drain near Bamadevpur on Kharsuan left.,Restoration to sluice drain,Please refer Tender documents. ,NA ,"11,61,390",Civil Works - Others,NA ,Tender,90.0,180.0,Binjharpur,755004.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,AOC,"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,25-Jun-2025 04:25 PM,finsummary_529419.pdf (442.55 KB),"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,25-Jun-2025 04:23 PM,techsummary_529419.pdf (442.55 KB),25-Jun-2025,"INR 987,297.77",180.0,Ratnakar Dalai,25-Jun-2025 04:28 PM,WO16_6.pdf (443.00 KB),Contract Awarded,1.0,2837718.0,LOPAMUDRANAYAK,INR,"987,297.77",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_110372_19,e-Procurement Notice No.16/ 2024-25,JJPR-6/24-25 Restoration to sluice drain near Bamadevpur on Kharsuan left.,1,2830606,AMAR BEHERA,22-Feb-2025 07:12 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sudhanshu Sekhar Nayak,04-Mar-2025 06:54 PM,finance_529419.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2833201,BIKASH SAHOO,23-Feb-2025 09:08 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2828201,LAXMIDHAR SAHOO,21-Feb-2025 11:40 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2837718,LOPAMUDRANAYAK,25-Feb-2025 04:03 PM,Accepted-AOC,Won the lottery,25-Jun-2025 04:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2832132,M/S BARADA PRASAD SAMAL,25-Feb-2025 10:15 AM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2837655,NIRANJAN DAS,25-Feb-2025 03:43 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2832792,PADMINI SAHOO,23-Feb-2025 08:00 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2837045,PRADEEP SAMAL,25-Feb-2025 01:08 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2826311,SHANTI SAHOO,20-Feb-2025 10:00 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2837047,Sudhansu Sekhar Samal,25-Feb-2025 01:23 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 04:23 PM,,,,,,,AOC
