Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,.,Dibyamayee Behera,25-Jan-2025 05:57 PM,finance_521429.pdf,BOQ Comparative Chart,1.0,2716319.0,AJAY KUMAR SETHI,INR,"1,749,706",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2024_CERWI_108577_2,08(Online)/RWD/BPD/2024-25,Const.of Pandit Raghunath Murmu Higher Secondary School at Sarat for 24-25,Akshay Kumar Naik,Internal,,Dibyamayee Behera,25-Jan-2025 06:50 PM,finsummary_521429.pdf (732.96 KB),Akshay Kumar Naik,Internal,,Dibyamayee Behera,25-Jan-2025 06:39 PM,techsummary_521429.pdf (732.96 KB),1,2716319,AJAY KUMAR SETHI,30-Dec-2024 07:54 AM,Accepted-AOC,Lottery winner,16-Jun-2025 12:53 PM,06-Jun-2025,"INR 1,749,706",120.0,Rajesh Pradhan,16-Jun-2025 12:52 PM,8.pdf (357.00 KB),AOC,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,08(Online)/RWD/BPD/2024-25,2024_CERWI_108577_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Const.of Pandit Raghunath Murmu Higher Secondary School at Sarat for 24-25,Const.of Pandit Raghunath Murmu Higher Secondary School at Sarat for 24-25,Please refer Tender documents. ,NA ,"20,60,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"S.E.R.W.Division, Baripada",No ,No,"6,000",0.0,Nil,Nil,No,21-Dec-2024 03:00 PM,30-Dec-2024 05:30 PM,21-Dec-2024 03:00 PM,30-Dec-2024 05:00 PM,21-Dec-2024 03:00 PM ,30-Dec-2024 03:00 PM ,21-Dec-2024 03:00 PM,30-Dec-2024 05:00 PM,"20,600",Yes,percentage,1.0%,Nil,Nil,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Affidavit and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2716986,BASANTI BEHERA,30-Dec-2024 01:49 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2717000,DILLIP NAYAK,30-Dec-2024 01:52 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2717367,KAMALAKANTA DEHURI,30-Dec-2024 04:26 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2716850,RANJAN KUMAR PANDA,30-Dec-2024 01:19 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2716408,SANATAN JENA,30-Dec-2024 10:24 AM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2706710,SASMITA RANI PATTANAYAK,30-Dec-2024 01:14 AM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2716616,SATYABRATA BEHERA,30-Dec-2024 01:21 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2712987,SATYAPRAKASH PRADHAN,26-Dec-2024 09:09 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2712479,SRI BALARAM LENKA,26-Dec-2024 04:02 PM,Rejected-AOC,unsuccessful tenderer,16-Jun-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
